hanzi,unicode_codepoint,gif_filename
撑,25745,25745.gif
撒,25746,25746.gif
撕,25749,25749.gif
撞,25758,25758.gif
撤,25764,25764.gif
撩,25769,25769.gif
撬,25772,25772.gif
播,25773,25773.gif
撮,25774,25774.gif
撰,25776,25776.gif
撵,25781,25781.gif
撷,25783,25783.gif
撸,25784,25784.gif
撺,25786,25786.gif
撼,25788,25788.gif
擀,25792,25792.gif
擂,25794,25794.gif
擅,25797,25797.gif
操,25805,25805.gif
擎,25806,25806.gif
擒,25810,25810.gif
擘,25816,25816.gif
擞,25822,25822.gif
擢,25826,25826.gif
擤,25828,25828.gif
擦,25830,25830.gif
攀,25856,25856.gif
攉,25865,25865.gif
攒,25874,25874.gif
攘,25880,25880.gif
攥,25893,25893.gif
攫,25899,25899.gif
攮,25902,25902.gif
支,25903,25903.gif
收,25910,25910.gif
攸,25912,25912.gif
改,25913,25913.gif
攻,25915,25915.gif
放,25918,25918.gif
政,25919,25919.gif
故,25925,25925.gif
效,25928,25928.gif
敌,25932,25932.gif
敏,25935,25935.gif
救,25937,25937.gif
敕,25941,25941.gif
敖,25942,25942.gif
教,25945,25945.gif
敛,25947,25947.gif
敝,25949,25949.gif
敞,25950,25950.gif
敢,25954,25954.gif
散,25955,25955.gif
敦,25958,25958.gif
敬,25964,25964.gif
数,25968,25968.gif
敲,25970,25970.gif
整,25972,25972.gif
敷,25975,25975.gif
文,25991,25991.gif
斋,25995,25995.gif
斐,26000,26000.gif
斑,26001,26001.gif
斓,26003,26003.gif
斗,26007,26007.gif
料,26009,26009.gif
斜,26012,26012.gif
斟,26015,26015.gif
斡,26017,26017.gif
斤,26020,26020.gif
斥,26021,26021.gif
斧,26023,26023.gif
斩,26025,26025.gif
断,26029,26029.gif
斯,26031,26031.gif
新,26032,26032.gif
方,26041,26041.gif
施,26045,26045.gif
旁,26049,26049.gif
旅,26053,26053.gif
旋,26059,26059.gif
旌,26060,26060.gif
族,26063,26063.gif
旗,26071,26071.gif
无,26080,26080.gif
既,26082,26082.gif
日,26085,26085.gif
旦,26086,26086.gif
旧,26087,26087.gif
旨,26088,26088.gif
早,26089,26089.gif
旬,26092,26092.gif
旭,26093,26093.gif
旮,26094,26094.gif
旯,26095,26095.gif
旰,26096,26096.gif
旱,26097,26097.gif
时,26102,26102.gif
旷,26103,26103.gif
旺,26106,26106.gif
昂,26114,26114.gif
昆,26118,26118.gif
昌,26124,26124.gif
明,26126,26126.gif
昏,26127,26127.gif
易,26131,26131.gif
昔,26132,26132.gif
昙,26137,26137.gif
星,26143,26143.gif
映,26144,26144.gif
春,26149,26149.gif
昧,26151,26151.gif
昨,26152,26152.gif
昭,26157,26157.gif
是,26159,26159.gif
昵,26165,26165.gif
昼,26172,26172.gif
显,26174,26174.gif
晃,26179,26179.gif
晋,26187,26187.gif
晌,26188,26188.gif
晏,26191,26191.gif
晒,26194,26194.gif
晓,26195,26195.gif
晕,26197,26197.gif
晖,26198,26198.gif
晚,26202,26202.gif
晤,26212,26212.gif
晦,26214,26214.gif
晨,26216,26216.gif
普,26222,26222.gif
景,26223,26223.gif
晰,26224,26224.gif
晴,26228,26228.gif
晶,26230,26230.gif
智,26234,26234.gif
晾,26238,26238.gif
暂,26242,26242.gif
暄,26244,26244.gif
暇,26247,26247.gif
暑,26257,26257.gif
暖,26262,26262.gif
暗,26263,26263.gif
暮,26286,26286.gif
暴,26292,26292.gif
曙,26329,26329.gif
曝,26333,26333.gif
曦,26342,26342.gif
曰,26352,26352.gif
曲,26354,26354.gif
曳,26355,26355.gif
更,26356,26356.gif
曹,26361,26361.gif
曼,26364,26364.gif
曾,26366,26366.gif
替,26367,26367.gif
最,26368,26368.gif
月,26376,26376.gif
有,26377,26377.gif
朋,26379,26379.gif
服,26381,26381.gif
朔,26388,26388.gif
朗,26391,26391.gif
望,26395,26395.gif
朝,26397,26397.gif
期,26399,26399.gif
朦,26406,26406.gif
木,26408,26408.gif
未,26410,26410.gif
末,26411,26411.gif
本,26412,26412.gif
札,26413,26413.gif
术,26415,26415.gif
朱,26417,26417.gif
朴,26420,26420.gif
朵,26421,26421.gif
机,26426,26426.gif
朽,26429,26429.gif
杀,26432,26432.gif
杂,26434,26434.gif
权,26435,26435.gif
杆,26438,26438.gif
杈,26440,26440.gif
杉,26441,26441.gif
李,26446,26446.gif
杏,26447,26447.gif
材,26448,26448.gif
村,26449,26449.gif
杖,26454,26454.gif
杜,26460,26460.gif
杞,26462,26462.gif
束,26463,26463.gif
杠,26464,26464.gif
条,26465,26465.gif
来,26469,26469.gif
杨,26472,26472.gif
杭,26477,26477.gif
杯,26479,26479.gif
杰,26480,26480.gif
杳,26483,26483.gif
杼,26492,26492.gif
松,26494,26494.gif
板,26495,26495.gif
极,26497,26497.gif
构,26500,26500.gif
枉,26505,26505.gif
析,26512,26512.gif
枕,26517,26517.gif
林,26519,26519.gif
枚,26522,26522.gif
果,26524,26524.gif
枝,26525,26525.gif
枢,26530,26530.gif
枣,26531,26531.gif
枥,26533,26533.gif
枪,26538,26538.gif
枫,26539,26539.gif
枭,26541,26541.gif
枯,26543,26543.gif
架,26550,26550.gif
枷,26551,26551.gif
柄,26564,26564.gif
柏,26575,26575.gif
某,26576,26576.gif
柑,26577,26577.gif
柒,26578,26578.gif
染,26579,26579.gif
柔,26580,26580.gif
柚,26586,26586.gif
柜,26588,26588.gif
柞,26590,26590.gif
柠,26592,26592.gif
查,26597,26597.gif
柩,26601,26601.gif
柬,26604,26604.gif
柯,26607,26607.gif
