rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
36128,1,查缉,chájī,,,动,稽查；搜查,查缉违禁物资,1
36128,2,查缉,chájī,,,动,搜查抓捕,查缉在逃凶犯,2
36135,2,航次,hángcì,,,名,指船只、飞机等完成一次运输任务的周期,,1
36135,1,航次,hángcì,,,名,船只、飞机等出航编排的次序,,2
36135,3,航次,hángcì,,,量,计量单位，表示船只、飞机等出航架数和出航次数的总量。如某日出航飞机10架，每架出航2次，该日出航总量为20航次,,3
36137,1,弃婴,qìyīng,,,名,被遗弃的婴儿,收养弃婴,1
36137,2,弃婴,qìyīng,,,动,负有法定抚养责任的人遗弃应抚养的婴儿,弃婴是一种犯罪行为。,2
36144,2,兜圈子,dōuquānzi,,,,比喻说话不直截了当，也比喻考虑问题只局限于某个范围,,1
36144,1,兜圈子,dōuquānzi,,,,走弯曲、迂回的路；也指走冤枉路,飞机在机场上空兜圈子｜从这条路走吧，免得舍近求远地兜圈子。,2
36148,1,赤膊,chìbó,,,动,光着膀子；泛指上身裸露,赤膊袒胸,1
36148,2,赤膊,chìbó,,,名,裸露的上身,打着赤膊乘凉,2
36162,3,玄机,xuánjī,,,名,深奥微妙的道理,玄机深藏,1
36162,2,玄机,xuánjī,,,名,神妙的机宜、计谋,玄机在握，克敌有望。,2
36162,1,玄机,xuánjī,,,名,旧指天意、天机,玄机难测,3
36164,2,画幅,huàfú,,,名,指图画的尺寸,这个大厅里挂的画，画幅当然应该是大一些的好。,1
36164,1,画幅,huàfú,,,名,图画的总称,馆藏的画幅不少｜展销多帧画幅,2
36185,1,前脚,qiánjiǎo,,,名,人站立或迈步时位于前面的那只脚,,1
36185,2,前脚,qiánjiǎo,,,名,前后相关的两个动作行为在时间上接得很紧时，指前一个动作行为（后面句子里，有“后脚”相呼应）,小王前脚走，小张后脚就来了。,2
36190,1,被覆,bèifù,,,动,覆盖；遮蔽,苍翠的林木被覆地面。,1
36190,2,被覆,bèifù,,,名,覆盖地表的植物,严禁破坏自然被覆。,2
36190,3,被覆,bèifù,,,动,军事上指对工事或工程内壁和外表进行加固,,3
36195,2,阳历,yánglì,,,名,公历的通称,,1
36195,1,阳历,yánglì,,,名,历法的一种，以地球绕太阳公转1周的时间（365.24219天）为1年,,2
36230,1,可怜巴巴,kělián-bābā,,,形,形容非常可怜的样子,可怜巴巴地等待着。,1
36230,2,可怜巴巴,kělián-bābā,,,形,形容稀少和不足,就这么两个菜，可怜巴巴的，够谁吃?,2
36236,1,水荒,shuǐhuāng,,,名,指严重缺水的情况,发生水荒｜水荒严重,1
36236,2,水荒,shuǐhuāng,,,名,水灾造成的荒年,,2
