id,topic,hanzi,frequency_rank
386,HSK3,健康,475
387,HSK3,包,483
388,HSK3,成绩,496
389,HSK3,认真,498
390,HSK3,站,500
391,HSK3,越,504
392,HSK3,几乎,510
393,HSK3,除了,512
394,HSK3,讲,519
395,HSK3,双,532
396,HSK3,米,533
397,HSK3,年轻,540
398,HSK3,检查,544
399,HSK3,半,545
400,HSK3,相信,546
401,HSK3,段,549
402,HSK3,低,562
403,HSK3,其实,573
404,HSK3,终于,587
405,HSK3,突然,592
406,HSK3,班,599
407,HSK3,河,605
408,HSK3,离开,612
409,HSK3,层,627
410,HSK3,黄,628
411,HSK3,以为,638
412,HSK3,以前,639
413,HSK3,脸,645
414,HSK3,楼,654
415,HSK3,别人,662
416,HSK3,画,664
417,HSK3,久,675
418,HSK3,同意,689
419,HSK3,春,691
420,HSK3,容易,697
421,HSK3,云,698
422,HSK3,经理,699
423,HSK3,差,719
424,HSK3,声音,727
425,HSK3,刻,728
426,HSK3,树,742
427,HSK3,角,747
428,HSK3,电子,748
429,HSK3,经常,758
430,HSK3,换,772
431,HSK3,清楚,777
432,HSK3,总是,784
433,HSK3,愿意,790
434,HSK3,关心,797
435,HSK3,短,811
436,HSK3,坏,827
437,HSK3,明白,829
438,HSK3,草,830
439,HSK3,脚,847
440,HSK3,故事,850
441,HSK3,敢,908
442,HSK3,附近,915
443,HSK3,办公室,960
444,HSK3,简单,976
445,HSK3,旧,983
446,HSK3,辆,992
447,HSK3,音乐,995
448,HSK3,动物,1001
449,HSK3,绿,1017
450,HSK3,夏,1022
451,HSK3,哭,1031
452,HSK3,借,1037
453,HSK3,祝,1048
454,HSK3,热情,1051
455,HSK3,灯,1063
456,HSK3,秋,1072
457,HSK3,满意,1107
458,HSK3,马上,1147
459,HSK3,兴趣,1149
460,HSK3,冬,1158
461,HSK3,腿,1180
462,HSK3,鞋,1181
463,HSK3,蓝,1195
464,HSK3,表演,1239
465,HSK3,一会儿,1264
466,HSK3,中间,1268
467,HSK3,太阳,1275
468,HSK3,习惯,1278
469,HSK3,担心,1280
470,HSK3,一边,1291
471,HSK3,鸟,1292
472,HSK3,方便,1300
473,HSK3,搬,1402
474,HSK3,糖,1404
475,HSK3,疼,1459
476,HSK3,甜,1460
477,HSK3,客人,1464
478,HSK3,骑,1486
479,HSK3,相同,1535
480,HSK3,饿,1548
481,HSK3,胖,1627
482,HSK3,照片,1643
483,HSK3,瘦,1659
484,HSK3,刷,1662
485,HSK3,碗,1671
486,HSK3,北方,1691
487,HSK3,节目,1716
488,HSK3,饱,1745
489,HSK3,打算,1770
490,HSK3,记得,1775
491,HSK3,葡萄,1787
492,HSK3,多么,1807
493,HSK3,结婚,1835
494,HSK3,渴,1853
495,HSK3,刚才,1921
496,HSK3,头发,1964
497,HSK3,公园,1988
498,HSK3,忘记,2092
499,HSK3,奇怪,2154
500,HSK3,矮,2224
501,HSK3,刮,2232
502,HSK3,聪明,2269
503,HSK3,街道,2336
504,HSK3,见面,2338
505,HSK3,司机,2341
506,HSK3,伞,2389
507,HSK3,放心,2406
508,HSK3,节日,2470
509,HSK3,小心,2479
510,HSK3,照顾,2520
511,HSK3,害怕,2521
512,HSK3,有名,2587
513,HSK3,游戏,2619
514,HSK3,宾馆,2664
515,HSK3,数学,2686
516,HSK3,作业,2746
517,HSK3,爱好,2802
518,HSK3,锻炼,2838
519,HSK3,生气,2859
