term,pinyin,cleaned_pinyin,updated_pinyin
荧光粉,yíngguāngfěn,yíngguāngfěn,yíng guāng fěn
调虎离山,diàohǔ-líshān,diàohǔ líshān,diào hǔ lí shān
呕血,ǒuxuè,ǒuxuè,ǒu xuè
二进宫,èrjìngōng,èrjìngōng,èr jìn gōng
尾追,wěizhuī,wěizhuī,wěi zhuī
软磁盘,ruǎncípán,ruǎncípán,ruǎn cí pán
权欲,quányù,quányù,quán yù
晒台,shàitái,shàitái,shài tái
圆白菜,yuánbáicài,yuánbáicài,yuán bái cài
爽气,shuǎngqì,shuǎngqì,shuǎng qì
咫尺天涯,zhǐchǐ-tiānyá,zhǐchǐ tiānyá,zhǐ chǐ tiān yá
吃眼前亏,chīyǎnqiánkuī,chīyǎnqiánkuī,chī yǎn qián kuī
发僵,fājiāng,fājiāng,fā jiāng
外强中干,wàiqiáng-zhōnggān,wàiqiáng zhōnggān,wài qiáng zhōng gān
熟门熟路,shúmén-shúlù,shúmén shúlù,shú mén shú lù
明日黄花,míngrì-huánghuā,míngrì huánghuā,míng rì huáng huā
故交,gùjiāo,gùjiāo,gù jiāo
名誉扫地,míngyù-sǎodì,míngyù sǎodì,míng yù sǎo dì
白班,báibān,báibān,bái bān
夭亡,yāowáng,yāowáng,yāo wáng
遗毒,yídú,yídú,yí dú
摩丝,mósī,mósī,mó sī
党规,dǎngguī,dǎngguī,dǎng guī
审察,shěnchá,shěnchá,shěn chá
补液,bǔyè,bǔyè,bǔ yè
勾通,gōutōng,gōutōng,gōu tōng
脱色,tuōsè,tuōsè,tuō sè
火柱,huǒzhù,huǒzhù,huǒ zhù
反目成仇,fǎnmù-chéngchóu,fǎnmù chéngchóu,fǎn mù chéng chóu
秋凉,qiūliáng,qiūliáng,qiū liáng
倒运,dǎoyùn,dǎoyùn,dǎo yùn
电椅,diànyǐ,diànyǐ,diàn yǐ
断口,duànkǒu,duànkǒu,duàn kǒu
燧石,suìshí,suìshí,suì shí
土墩,tǔdūn,tǔdūn,tǔ dūn
衬裤,chènkù,chènkù,chèn kù
圆滚滚,yuángǔngǔn,yuángǔngǔn,yuán gǔn gǔn
续订,xùdìng,xùdìng,xù dìng
蠢笨,chǔnbèn,chǔnbèn,chǔn bèn
漫道,màndào,màndào,màn dào
节哀,jié'āi,jié āi,jié āi
假死,jiǎsǐ,jiǎsǐ,jiǎ sǐ
金瓯,jīn'ōu,jīn ōu,jīn ōu
回门,huímén,huímén,huí mén
反义词,fǎnyìcí,fǎnyìcí,fǎn yì cí
核讹诈,hé'ézhà,hé ézhà,hé é zhà
自然段,zìránduàn,zìránduàn,zì rán duàn
西葫芦,xīhúlu,xīhúlu,xī hú lu
硅藻,guīzǎo,guīzǎo,guī zǎo
等份,děngfèn,děngfèn,děng fèn
孤雁,gūyàn,gūyàn,gū yàn
知法犯法,zhīfǎ-fànfǎ,zhīfǎ fànfǎ,zhī fǎ fàn fǎ
热门货,rèménhuò,rèménhuò,rè mén huò
满堂彩,mǎntángcǎi,mǎntángcǎi,mǎn táng cǎi
死力,sǐlì,sǐlì,sǐ lì
美术片,měishùpiàn,měishùpiàn,měi shù piàn
花饰,huāshì,huāshì,huā shì
常备军,chángbèijūn,chángbèijūn,cháng bèi jūn
勃朗宁,bólǎngníng,bólǎngníng,bó lǎng níng
壁灯,bìdēng,bìdēng,bì dēng
喜雨,xǐyǔ,xǐyǔ,xǐ yǔ
死牢,sǐláo,sǐláo,sǐ láo
电子眼,diànzǐyǎn,diànzǐyǎn,diàn zǐ yǎn
旱魔,hànmó,hànmó,hàn mó
见礼,jiànlǐ,jiànlǐ,jiàn lǐ
斜井,xiéjǐng,xiéjǐng,xié jǐng
油膏,yóugāo,yóugāo,yóu gāo
亲故,qīngù,qīngù,qīn gù
边寨,biānzhài,biānzhài,biān zhài
黄毛丫头,huángmáo yātou,huángmáo yātou,huáng máo yā tou
耳提面命,ěrtí-miànmìng,ěrtí miànmìng,ěr tí miàn mìng
抓耳挠腮,zhuā'ěr-náosāi,zhuā ěr náosāi,zhuā ěr náo sāi
技穷,jìqióng,jìqióng,jì qióng
山盟海誓,shānméng-hǎishì,shānméng hǎishì,shān méng hǎi shì
不足挂齿,bùzú-guàchǐ,bùzú guàchǐ,bù zú guà chǐ
文绉绉,wénzhòuzhòu,wénzhòuzhòu,wén zhòu zhòu
怒潮,nùcháo,nùcháo,nù cháo
赌具,dǔjù,dǔjù,dǔ jù
拱卫,gǒngwèi,gǒngwèi,gǒng wèi
枯骨,kūgǔ,kūgǔ,kū gǔ
火烧火燎,huǒshāo-huǒliǎo,huǒshāo huǒliǎo,huǒ shāo huǒ liǎo
万人坑,wànrénkēng,wànrénkēng,wàn rén kēng
南货,nánhuò,nánhuò,nán huò
劝止,quànzhǐ,quànzhǐ,quàn zhǐ
岁暮,suìmù,suìmù,suì mù
汽灯,qìdēng,qìdēng,qì dēng
眼眉,yǎnméi,yǎnméi,yǎn méi
为虎作伥,wèihǔ-zuòchāng,wèihǔ zuòchāng,wèi hǔ zuò chāng
遥指,yáozhǐ,yáozhǐ,yáo zhǐ
劝勉,quànmiǎn,quànmiǎn,quàn miǎn
上半夜,shàngbànyè,shàngbànyè,shàng bàn yè
设岗,shègǎng,shègǎng,shè gǎng
干花,gānhuā,gānhuā,gān huā
马掌,mǎzhǎng,mǎzhǎng,mǎ zhǎng
评头品足,píngtóu-pǐnzú,píngtóu pǐnzú,píng tóu pǐn zú
衣帽间,yīmàojiān,yīmàojiān,yī mào jiān
忖度,cǔnduó,cǔnduó,cǔn duó
钓竿,diàogān,diàogān,diào gān
摆样子,bǎiyàngzi,bǎiyàngzi,bǎi yàng zi
愚忠,yúzhōng,yúzhōng,yú zhōng
机织,jīzhī,jīzhī,jī zhī
口出狂言,kǒuchū-kuángyán,kǒuchū kuángyán,kǒu chū kuáng yán
乳牛,rǔniú,rǔniú,rǔ niú
保护色,bǎohùsè,bǎohùsè,bǎo hù sè
怀春,huáichūn,huáichūn,huái chūn
怪才,guàicái,guàicái,guài cái
鼓槌,gǔchuí,gǔchuí,gǔ chuí
混交林,hùnjiāolín,hùnjiāolín,hùn jiāo lín
马口铁,mǎkǒutiě,mǎkǒutiě,mǎ kǒu tiě
裹脚,guǒjiǎo,guǒjiǎo,guǒ jiǎo
禀明,bǐngmíng,bǐngmíng,bǐng míng
台步,táibù,táibù,tái bù
愣怔,lèngzheng,lèngzheng,lèng zheng
整饰,zhěngshì,zhěngshì,zhěng shì
大礼拜,dàlǐbài,dàlǐbài,dà lǐ bài
重檐,chóngyán,chóngyán,chóng yán
送风,sòngfēng,sòngfēng,sòng fēng
诱奸,yòujiān,yòujiān,yòu jiān
归政,guīzhèng,guīzhèng,guī zhèng
表记,biǎojì,biǎojì,biǎo jì
土性,tǔxìng,tǔxìng,tǔ xìng
旱路,hànlù,hànlù,hàn lù
略图,lüètú,lüètú,lüè tú
秋景,qiūjǐng,qiūjǐng,qiū jǐng
獐子,zhāngzi,zhāngzi,zhāng zi
天崩地裂,tiānbēng-dìliè,tiānbēng dìliè,tiān bēng dì liè
天葬,tiānzàng,tiānzàng,tiān zàng
晒场,shàicháng,shàicháng,shài cháng
观风,guānfēng,guānfēng,guān fēng
抽咽,chōuyè,chōuyè,chōu yè
行方便,xíngfāngbian,xíngfāngbian,xíng fāng bian
文不对题,wénbùduìtí,wénbùduìtí,wén bù duì tí
无机可乘,wújī-kěchéng,wújī kěchéng,wú jī kě chéng
平头百姓,píngtóu bǎixìng,píngtóu bǎixìng,píng tóu bǎi xìng
唾沫星子,tuòmo xīngzi,tuòmo xīngzi,tuò mo xīng zi
奇趣,qíqù,qíqù,qí qù
甜润,tiánrùn,tiánrùn,tián rùn
蝉蜕,chántuì,chántuì,chán tuì
乳臭未干,rǔxiù-wèigān,rǔxiù wèigān,rǔ xiù wèi gān
俨如,yǎnrú,yǎnrú,yǎn rú
谷草,gǔcǎo,gǔcǎo,gǔ cǎo
倾国倾城,qīngguó-qīngchéng,qīngguó qīngchéng,qīng guó qīng chéng
语病,yǔbìng,yǔbìng,yǔ bìng
派款,pàikuǎn,pàikuǎn,pài kuǎn
浸没,jìnmò,jìnmò,jìn mò
板鸭,bǎnyā,bǎnyā,bǎn yā
卑污,bēiwū,bēiwū,bēi wū
挟制,xiézhì,xiézhì,xié zhì
内在美,nèizàiměi,nèizàiměi,nèi zài měi
争宠,zhēngchǒng,zhēngchǒng,zhēng chǒng
鸭绒,yāróng,yāróng,yā róng
上颚,shàng'è,shàng è,shàng è
整纪,zhěngjì,zhěngjì,zhěng jì
抽水站,chōushuǐzhàn,chōushuǐzhàn,chōu shuǐ zhàn
司售人员,sī-shòu rényuán,sī shòu rényuán,sī shòu rén yuán
伶牙俐齿,língyá-lìchǐ,língyá lìchǐ,líng yá lì chǐ
例假,lìjià,lìjià,lì jià
城市病,chéngshìbìng,chéngshìbìng,chéng shì bìng
愚顽,yúwán,yúwán,yú wán
仰靠,yǎngkào,yǎngkào,yǎng kào
卵生,luǎnshēng,luǎnshēng,luǎn shēng
奖旗,jiǎngqí,jiǎngqí,jiǎng qí
签单,qiāndān,qiāndān,qiān dān
缓兵之计,huǎnbīngzhījì,huǎnbīngzhījì,huǎn bīng zhī jì
箭楼,jiànlóu,jiànlóu,jiàn lóu
如胶似漆,rújiāo-sìqī,rújiāo sìqī,rú jiāo sì qī
不倒翁,bùdǎowēng,bùdǎowēng,bù dǎo wēng
有头有尾,yǒutóu-yǒuwěi,yǒutóu yǒuwěi,yǒu tóu yǒu wěi
打入冷宫,dǎrù-lěnggōng,dǎrù lěnggōng,dǎ rù lěng gōng
掩耳盗铃,yǎn'ěr-dàolíng,yǎn ěr dàolíng,yǎn ěr dào líng
藕断丝连,ǒuduàn-sīlián,ǒuduàn sīlián,ǒu duàn sī lián
遣词造句,qiǎncí-zàojù,qiǎncí zàojù,qiǎn cí zào jù
岬角,jiǎjiǎo,jiǎjiǎo,jiǎ jiǎo
私吞,sītūn,sītūn,sī tūn
下款,xiàkuǎn,xiàkuǎn,xià kuǎn
判词,pàncí,pàncí,pàn cí
花腔,huāqiāng,huāqiāng,huā qiāng
绒花,rónghuā,rónghuā,róng huā
侃大山,kǎndàshān,kǎndàshān,kǎn dà shān
波斯猫,bōsīmāo,bōsīmāo,bō sī māo
两重天,liǎngchóngtiān,liǎngchóngtiān,liǎng chóng tiān
吃得开,chīdekāi,chīdekāi,chī de kāi
地震仪,dìzhènyí,dìzhènyí,dì zhèn yí
尼姑庵,nígū'ān,nígū ān,ní gū ān
二房东,èrfángdōng,èrfángdōng,èr fáng dōng
军阶,jūnjiē,jūnjiē,jūn jiē
修书,xiūshū,xiūshū,xiū shū
瓜皮帽,guāpímào,guāpímào,guā pí mào
观后感,guānhòugǎn,guānhòugǎn,guān hòu gǎn
拉下水,lāxiàshuǐ,lāxiàshuǐ,lā xià shuǐ
考级,kǎojí,kǎojí,kǎo jí
过滤嘴儿,guòlǜzuǐr,guòlǜzuǐr,guò lǜ zuǐ er
后备役,hòubèiyì,hòubèiyì,hòu bèi yì
外来词,wàiláicí,wàiláicí,wài lái cí
低能儿,dīnéng'ér,dīnéng ér,dī néng ér
藏红花,zànghónghuā,zànghónghuā,zàng hóng huā
罗汉果,luóhànguǒ,luóhànguǒ,luó hàn guǒ
手腕子,shǒuwànzi,shǒuwànzi,shǒu wàn zi
大屋顶,dàwūdǐng,dàwūdǐng,dà wū dǐng
枯井,kūjǐng,kūjǐng,kū jǐng
老皇历,lǎohuángli,lǎohuángli,lǎo huáng li
普及本,pǔjíběn,pǔjíběn,pǔ jí běn
大篆,dàzhuàn,dàzhuàn,dà zhuàn
城垛,chéngduǒ,chéngduǒ,chéng duǒ
盘坐,pánzuò,pánzuò,pán zuò
密件,mìjiàn,mìjiàn,mì jiàn
鹭鸶,lùsī,lùsī,lù sī
奇诡,qíguǐ,qíguǐ,qí guǐ
空喊,kōnghǎn,kōnghǎn,kōng hǎn
失敬,shījìng,shījìng,shī jìng
正骨,zhènggǔ,zhènggǔ,zhèng gǔ
锋刃,fēngrèn,fēngrèn,fēng rèn
故址,gùzhǐ,gùzhǐ,gù zhǐ
哄闹,hòngnào,hòngnào,hòng nào
横匾,héngbiǎn,héngbiǎn,héng biǎn
孝服,xiàofú,xiàofú,xiào fú
氨气,ānqì,ānqì,ān qì
奴化,núhuà,núhuà,nú huà
大秋,dàqiū,dàqiū,dà qiū
陈放,chénfàng,chénfàng,chén fàng
货箱,huòxiāng,huòxiāng,huò xiāng
挺秀,tǐngxiù,tǐngxiù,tǐng xiù
船位,chuánwèi,chuánwèi,chuán wèi
预卜,yùbǔ,yùbǔ,yù bǔ
献宝,xiànbǎo,xiànbǎo,xiàn bǎo
灯花,dēnghuā,dēnghuā,dēng huā
拆封,chāifēng,chāifēng,chāi fēng
临盆,línpén,línpén,lín pén
苏绣,sūxiù,sūxiù,sū xiù
拆阅,chāiyuè,chāiyuè,chāi yuè
虚数,xūshù,xūshù,xū shù
疏理,shūlǐ,shūlǐ,shū lǐ
方凳,fāngdèng,fāngdèng,fāng dèng
烧瓶,shāopíng,shāopíng,shāo píng
巧思,qiǎosī,qiǎosī,qiǎo sī
腰眼,yāoyǎn,yāoyǎn,yāo yǎn
脓肿,nóngzhǒng,nóngzhǒng,nóng zhǒng
谐谑,xiéxuè,xiéxuè,xié xuè
费话,fèihuà,fèihuà,fèi huà
缩印,suōyìn,suōyìn,suō yìn
当堂,dāngtáng,dāngtáng,dāng táng
电复,diànfù,diànfù,diàn fù
混养,hùnyǎng,hùnyǎng,hùn yǎng
茶盘,chápán,chápán,chá pán
配殿,pèidiàn,pèidiàn,pèi diàn
枪机,qiāngjī,qiāngjī,qiāng jī
开释,kāishì,kāishì,kāi shì
打援,dǎyuán,dǎyuán,dǎ yuán
锈病,xiùbìng,xiùbìng,xiù bìng
亡失,wángshī,wángshī,wáng shī
共居,gòngjū,gòngjū,gòng jū
悖谬,bèimiù,bèimiù,bèi miù
坐监,zuòjiān,zuòjiān,zuò jiān
配色,pèisè,pèisè,pèi sè
石磙,shígǔn,shígǔn,shí gǔn
妆饰,zhuāngshì,zhuāngshì,zhuāng shì
散光,sǎnguāng,sǎnguāng,sǎn guāng
寡居,guǎjū,guǎjū,guǎ jū
声速,shēngsù,shēngsù,shēng sù
壅塞,yōngsè,yōngsè,yōng sè
假唱,jiǎchàng,jiǎchàng,jiǎ chàng
海胆,hǎidǎn,hǎidǎn,hǎi dǎn
粉剂,fěnjì,fěnjì,fěn jì
听书,tīngshū,tīngshū,tīng shū
疥疮,jièchuāng,jièchuāng,jiè chuāng
脱党,tuōdǎng,tuōdǎng,tuō dǎng
嫡亲,díqīn,díqīn,dí qīn
陪读,péidú,péidú,péi dú
扯平,chěpíng,chěpíng,chě píng
立功赎罪,lìgōng-shúzuì,lìgōng shúzuì,lì gōng shú zuì
以儆效尤,yǐjǐngxiàoyóu,yǐjǐngxiàoyóu,yǐ jǐng xiào yóu
以邻为壑,yǐlín-wéihè,yǐlín wéihè,yǐ lín wéi hè
桌椅板凳,zhuōyǐ-bǎndèng,zhuōyǐ bǎndèng,zhuō yǐ bǎn dèng
狗血喷头,gǒuxuè-pēntóu,gǒuxuè pēntóu,gǒu xuè pēn tóu
不绝如缕,bùjué-rúlǚ,bùjué rúlǚ,bù jué rú lǚ
承先启后,chéngxiān-qǐhòu,chéngxiān qǐhòu,chéng xiān qǐ hòu
锱铢必较,zīzhū-bìjiào,zīzhū bìjiào,zī zhū bì jiào
伤痕文学,shānghén wénxué,shānghén wénxué,shāng hén wén xué
外交辞令,wàijiāo cílìng,wàijiāo cílìng,wài jiāo cí lìng
冤孽,yuānniè,yuānniè,yuān niè
呜呼哀哉,wūhū-āizāi,wūhū āizāi,wū hū āi zāi
发胶,fàjiāo,fàjiāo,fà jiāo
大放厥词,dàfàng-juécí,dàfàng juécí,dà fàng jué cí
矿灯,kuàngdēng,kuàngdēng,kuàng dēng
时不再来,shíbùzàilái,shíbùzàilái,shí bù zài lái
神位,shénwèi,shénwèi,shén wèi
日班,rìbān,rìbān,rì bān
官复原职,guānfùyuánzhí,guānfùyuánzhí,guān fù yuán zhí
姑嫂,gūsǎo,gūsǎo,gū sǎo
刀兵,dāobīng,dāobīng,dāo bīng
炒买炒卖,chǎomǎi-chǎomài,chǎomǎi chǎomài,chǎo mǎi chǎo mài
强夺,qiángduó,qiángduó,qiáng duó
动粗,dòngcū,dòngcū,dòng cū
披巾,pījīn,pījīn,pī jīn
顺遂,shùnsuì,shùnsuì,shùn suì
查哨,cháshào,cháshào,chá shào
急风暴雨,jífēng-bàoyǔ,jífēng bàoyǔ,jí fēng bào yǔ
妖冶,yāoyě,yāoyě,yāo yě
牯牛,gǔniú,gǔniú,gǔ niú
简单劳动,jiǎndān láodòng,jiǎndān láodòng,jiǎn dān láo dòng
短打,duǎndǎ,duǎndǎ,duǎn dǎ
兴替,xīngtì,xīngtì,xīng tì
均摊,jūntān,jūntān,jūn tān
导源,dǎoyuán,dǎoyuán,dǎo yuán
傻里傻气,shǎlishǎqì,shǎlishǎqì,shǎ li shǎ qì
索求,suǒqiú,suǒqiú,suǒ qiú
凡尘,fánchén,fánchén,fán chén
富贵病,fùguìbìng,fùguìbìng,fù guì bìng
石版,shíbǎn,shíbǎn,shí bǎn
衰朽,shuāixiǔ,shuāixiǔ,shuāi xiǔ
车轮战,chēlúnzhàn,chēlúnzhàn,chē lún zhàn
缺课,quēkè,quēkè,quē kè
地板砖,dìbǎnzhuān,dìbǎnzhuān,dì bǎn zhuān
真空管,zhēnkōngguǎn,zhēnkōngguǎn,zhēn kōng guǎn
凄风苦雨,qīfēng-kǔyǔ,qīfēng kǔyǔ,qī fēng kǔ yǔ
池沼,chízhǎo,chízhǎo,chí zhǎo
抄报,chāobào,chāobào,chāo bào
反话,fǎnhuà,fǎnhuà,fǎn huà
租子,zūzi,zūzi,zū zi
痛觉,tòngjué,tòngjué,tòng jué
迪厅,dítīng,dítīng,dí tīng
拼死拼活,pīnsǐ-pīnhuó,pīnsǐ pīnhuó,pīn sǐ pīn huó
工蜂,gōngfēng,gōngfēng,gōng fēng
一锤子买卖,yī chuízi mǎimai,yī chuízi mǎimai,yī chuí zi mǎi mai
家蚕,jiācán,jiācán,jiā cán
白面书生,báimiàn shūshēng,báimiàn shūshēng,bái miàn shū shēng
毛孩子,máoháizi,máoháizi,máo hái zi
私刑,sīxíng,sīxíng,sī xíng
马前卒,mǎqiánzú,mǎqiánzú,mǎ qián zú
捉奸,zhuōjiān,zhuōjiān,zhuō jiān
服软,fúruǎn,fúruǎn,fú ruǎn
冒头,màotóu,màotóu,mào tóu
辖制,xiázhì,xiázhì,xiá zhì
糖块儿,tángkuàir,tángkuàir,táng kuài er
撕破脸,sīpòliǎn,sīpòliǎn,sī pò liǎn
卵磷脂,luǎnlínzhī,luǎnlínzhī,luǎn lín zhī
褶子,zhězi,zhězi,zhě zi
财气,cáiqì,cáiqì,cái qì
活死人,huósǐrén,huósǐrén,huó sǐ rén
夜餐,yècān,yècān,yè cān
胶轮,jiāolún,jiāolún,jiāo lún
斑竹,bānzhú,bānzhú,bān zhú
暗河,ànhé,ànhé,àn hé
简装,jiǎnzhuāng,jiǎnzhuāng,jiǎn zhuāng
男家,nánjiā,nánjiā,nán jiā
展宽,zhǎnkuān,zhǎnkuān,zhǎn kuān
浮土,fútǔ,fútǔ,fú tǔ
自乘,zìchéng,zìchéng,zì chéng
志愿书,zhìyuànshū,zhìyuànshū,zhì yuàn shū
修面,xiūmiàn,xiūmiàn,xiū miàn
胎记,tāijì,tāijì,tāi jì
重晶石,zhòngjīngshí,zhòngjīngshí,zhòng jīng shí
百折不回,bǎizhé-bùhuí,bǎizhé bùhuí,bǎi zhé bù huí
便笺,biànjiān,biànjiān,biàn jiān
少见多怪,shǎojiàn-duōguài,shǎojiàn duōguài,shǎo jiàn duō guài
鸟兽散,niǎoshòusàn,niǎoshòusàn,niǎo shòu sàn
金钗,jīnchāi,jīnchāi,jīn chāi
泡制,pàozhì,pàozhì,pào zhì
诱杀,yòushā,yòushā,yòu shā
弓子,gōngzi,gōngzi,gōng zi
长毛绒,chángmáoróng,chángmáoróng,cháng máo róng
哭穷,kūqióng,kūqióng,kū qióng
鲜绿,xiānlǜ,xiānlǜ,xiān lǜ
领舞,lǐngwǔ,lǐngwǔ,lǐng wǔ
茬子,cházi,cházi,chá zi
春药,chūnyào,chūnyào,chūn yào
扬程,yángchéng,yángchéng,yáng chéng
拉稀,lāxī,lāxī,lā xī
溪涧,xījiàn,xījiàn,xī jiàn
面塑,miànsù,miànsù,miàn sù
掩鼻,yǎnbí,yǎnbí,yǎn bí
鹰隼,yīngsǔn,yīngsǔn,yīng sǔn
扬水站,yángshuǐzhàn,yángshuǐzhàn,yáng shuǐ zhàn
代耕,dàigēng,dàigēng,dài gēng
行笔,xíngbǐ,xíngbǐ,xíng bǐ
自鸣钟,zìmíngzhōng,zìmíngzhōng,zì míng zhōng
疝气,shànqì,shànqì,shàn qì
入档,rùdàng,rùdàng,rù dàng
进见,jìnjiàn,jìnjiàn,jìn jiàn
人地生疏,réndì-shēngshū,réndì shēngshū,rén dì shēng shū
践诺,jiànnuò,jiànnuò,jiàn nuò
杂木,zámù,zámù,zá mù
冬寒,dōnghán,dōnghán,dōng hán
沙柳,shāliǔ,shāliǔ,shā liǔ
气咻咻,qìxiūxiū,qìxiūxiū,qì xiū xiū
脓包,nóngbāo,nóngbāo,nóng bāo
俄而,é'ér,é ér,é ér
接火,jiēhuǒ,jiēhuǒ,jiē huǒ
吊桶,diàotǒng,diàotǒng,diào tǒng
紧绷绷,jǐnbēngbēng,jǐnbēngbēng,jǐn bēng bēng
记叙文,jìxùwén,jìxùwén,jì xù wén
旱船,hànchuán,hànchuán,hàn chuán
叛党,pàndǎng,pàndǎng,pàn dǎng
尝新,chángxīn,chángxīn,cháng xīn
丑话,chǒuhuà,chǒuhuà,chǒu huà
不足为训,bùzúwéixùn,bùzúwéixùn,bù zú wéi xùn
一面之交,yīmiànzhījiāo,yīmiànzhījiāo,yī miàn zhī jiāo
绫罗绸缎,líng-luó-chóu-duàn,líng luó chóu duàn,líng luó chóu duàn
细工,xìgōng,xìgōng,xì gōng
数九寒天,shǔjiǔ-hántiān,shǔjiǔ hántiān,shǔ jiǔ hán tiān
摇头摆尾,yáotóu-bǎiwěi,yáotóu bǎiwěi,yáo tóu bǎi wěi
凤蝶,fèngdié,fèngdié,fèng dié
卡壳,qiǎké,qiǎké,qiǎ ké
备置,bèizhì,bèizhì,bèi zhì
老奸巨猾,lǎojiān-jùhuá,lǎojiān jùhuá,lǎo jiān jù huá
人心向背,rénxīn-xiàngbèi,rénxīn xiàngbèi,rén xīn xiàng bèi
敬服,jìngfú,jìngfú,jìng fú
瓮声瓮气,wèngshēng-wèngqì,wèngshēng wèngqì,wèng shēng wèng qì
摘译,zhāiyì,zhāiyì,zhāi yì
驮运,tuóyùn,tuóyùn,tuó yùn
帕金森病,pàjīnsēnbìng,pàjīnsēnbìng,pà jīn sēn bìng
吱吱嘎嘎,zhīzhī-gāgā,zhīzhī gāgā,zhī zhī gā gā
枉自,wǎngzì,wǎngzì,wǎng zì
喷口,pēnkǒu,pēnkǒu,pēn kǒu
积欠,jīqiàn,jīqiàn,jī qiàn
赤膊上阵,chìbó-shàngzhèn,chìbó shàngzhèn,chì bó shàng zhèn
抄件,chāojiàn,chāojiàn,chāo jiàn
课程表,kèchéngbiǎo,kèchéngbiǎo,kè chéng biǎo
釉面砖,yòumiànzhuān,yòumiànzhuān,yòu miàn zhuān
赛似,sàisì,sàisì,sài sì
浆液,jiāngyè,jiāngyè,jiāng yè
雪花膏,xuěhuāgāo,xuěhuāgāo,xuě huā gāo
问难,wènnàn,wènnàn,wèn nàn
车帮,chēbāng,chēbāng,chē bāng
内侄,nèizhí,nèizhí,nèi zhí
混编,hùnbiān,hùnbiān,hùn biān
青杨,qīngyáng,qīngyáng,qīng yáng
龟板,guībǎn,guībǎn,guī bǎn
吃派饭,chīpàifàn,chīpàifàn,chī pài fàn
胡吹,húchuī,húchuī,hú chuī
多元论,duōyuánlùn,duōyuánlùn,duō yuán lùn
高栏,gāolán,gāolán,gāo lán
凶兆,xiōngzhào,xiōngzhào,xiōng zhào
输尿管,shūniàoguǎn,shūniàoguǎn,shū niào guǎn
大老婆,dàlǎopo,dàlǎopo,dà lǎo po
雌蕊,círuǐ,círuǐ,cí ruǐ
帮厨,bāngchú,bāngchú,bāng chú
鼓膜,gǔmó,gǔmó,gǔ mó
头油,tóuyóu,tóuyóu,tóu yóu
霜叶,shuāngyè,shuāngyè,shuāng yè
冷然,lěngrán,lěngrán,lěng rán
稻秧,dàoyāng,dàoyāng,dào yāng
耳福,ěrfú,ěrfú,ěr fú
花枪,huāqiāng,huāqiāng,huā qiāng
征募,zhēngmù,zhēngmù,zhēng mù
石女,shínǚ,shínǚ,shí nǚ
外姓,wàixìng,wàixìng,wài xìng
荒丘,huāngqiū,huāngqiū,huāng qiū
红壤,hóngrǎng,hóngrǎng,hóng rǎng
仙方,xiānfāng,xiānfāng,xiān fāng
情窦初开,qíngdòu-chūkāi,qíngdòu chūkāi,qíng dòu chū kāi
赠阅,zèngyuè,zèngyuè,zèng yuè
拘传,jūchuán,jūchuán,jū chuán
普洱茶,pǔ'ěrchá,pǔ ěrchá,pǔ ěr chá
延聘,yánpìn,yánpìn,yán pìn
豆腐皮,dòufupí,dòufupí,dòu fu pí
班门弄斧,bānmén-nòngfǔ,bānmén nòngfǔ,bān mén nòng fǔ
一溜儿,yīliùr,yīliùr,yī liù er
精密度,jīngmìdù,jīngmìdù,jīng mì dù
赶海,gǎnhǎi,gǎnhǎi,gǎn hǎi
太空服,tàikōngfú,tàikōngfú,tài kōng fú
邮集,yóují,yóují,yóu jí
断魂,duànhún,duànhún,duàn hún
锅铲,guōchǎn,guōchǎn,guō chǎn
话家常,huàjiācháng,huàjiācháng,huà jiā cháng
大不敬,dàbùjìng,dàbùjìng,dà bù jìng
解甲归田,jiějiǎ-guītián,jiějiǎ guītián,jiě jiǎ guī tián
开小灶,kāixiǎozào,kāixiǎozào,kāi xiǎo zào
铺砌,pūqì,pūqì,pū qì
捏合,niēhé,niēhé,niē hé
杂说,záshuō,záshuō,zá shuō
追逼,zhuībī,zhuībī,zhuī bī
捣鼓,dǎogu,dǎogu,dǎo gu
舒卷,shūjuǎn,shūjuǎn,shū juǎn
腹股沟,fùgǔgōu,fùgǔgōu,fù gǔ gōu
畜类,chùlei,chùlei,chù lei
飞轮,fēilún,fēilún,fēi lún
押宝,yābǎo,yābǎo,yā bǎo
双氧水,shuāngyǎngshuǐ,shuāngyǎngshuǐ,shuāng yǎng shuǐ
燕雀,yànquè,yànquè,yàn què
避实就虚,bìshí-jiùxū,bìshí jiùxū,bì shí jiù xū
倒叙,dàoxù,dàoxù,dào xù
叩首,kòushǒu,kòushǒu,kòu shǒu
族亲,zúqīn,zúqīn,zú qīn
英制,yīngzhì,yīngzhì,yīng zhì
溜光,liūguāng,liūguāng,liū guāng
僚属,liáoshǔ,liáoshǔ,liáo shǔ
跋文,báwén,báwén,bá wén
拉洋片,lāyángpiān,lāyángpiān,lā yáng piān
妒火,dùhuǒ,dùhuǒ,dù huǒ
装疯卖傻,zhuāngfēng-màishǎ,zhuāngfēng màishǎ,zhuāng fēng mài shǎ
白狐,báihú,báihú,bái hú
独幕剧,dúmùjù,dúmùjù,dú mù jù
接合部,jiēhébù,jiēhébù,jiē hé bù
母机,mǔjī,mǔjī,mǔ jī
通名,tōngmíng,tōngmíng,tōng míng
三皇五帝,sānhuáng-wǔdì,sānhuáng wǔdì,sān huáng wǔ dì
