term,pinyin,cleaned_pinyin,updated_pinyin
用工,yònggōng,yònggōng,yòng gōng
地步,dìbù,dìbù,dì bù
立国,lìguó,lìguó,lì guó
归来,guīlái,guīlái,guī lái
休闲,xiūxián,xiūxián,xiū xián
扭转,niǔzhuǎn,niǔzhuǎn,niǔ zhuǎn
培训班,péixùnbān,péixùnbān,péi xùn bān
护工,hùgōng,hùgōng,hù gōng
一共,yīgòng,yīgòng,yī gòng
忠诚,zhōngchéng,zhōngchéng,zhōng chéng
苦难,kǔnàn,kǔnàn,kǔ nàn
温和,wēnhé,wēnhé,wēn hé
接见,jiējiàn,jiējiàn,jiē jiàn
华南,huánán,huánán,huá nán
饲料,sìliào,sìliào,sì liào
难忘,nánwàng,nánwàng,nán wàng
天时,tiānshí,tiānshí,tiān shí
好评,hǎopíng,hǎopíng,hǎo píng
目睹,mùdǔ,mùdǔ,mù dǔ
黑人,hēirén,hēirén,hēi rén
这边,zhèbian,zhèbian,zhè bian
农副产品,nóng-fù chǎnpǐn,nóng fù chǎnpǐn,nóng fù chǎn pǐn
构建,gòujiàn,gòujiàn,gòu jiàn
精确,jīngquè,jīngquè,jīng què
债权,zhàiquán,zhàiquán,zhài quán
国医,guóyī,guóyī,guó yī
监视,jiānshì,jiānshì,jiān shì
飞船,fēichuán,fēichuán,fēi chuán
登山,dēngshān,dēngshān,dēng shān
特意,tèyì,tèyì,tè yì
有心,yǒuxīn,yǒuxīn,yǒu xīn
发票,fāpiào,fāpiào,fā piào
乃是,nǎishì,nǎishì,nǎi shì
搜索,sōusuǒ,sōusuǒ,sōu suǒ
年报,niánbào,niánbào,nián bào
自卫,zìwèi,zìwèi,zì wèi
迄今为止,qìjīn-wéizhǐ,qìjīn wéizhǐ,qì jīn wéi zhǐ
拖欠,tuōqiàn,tuōqiàn,tuō qiàn
邮件,yóujiàn,yóujiàn,yóu jiàn
商机,shāngjī,shāngjī,shāng jī
基督教,jīdūjiào,jīdūjiào,jī dū jiào
冰箱,bīngxiāng,bīngxiāng,bīng xiāng
上届,shàngjiè,shàngjiè,shàng jiè
要闻,yàowén,yàowén,yào wén
良性,liángxìng,liángxìng,liáng xìng
天真,tiānzhēn,tiānzhēn,tiān zhēn
怕是,pàshì,pàshì,pà shì
声响,shēngxiǎng,shēngxiǎng,shēng xiǎng
预料,yùliào,yùliào,yù liào
单打,dāndǎ,dāndǎ,dān dǎ
笑声,xiàoshēng,xiàoshēng,xiào shēng
元素,yuánsù,yuánsù,yuán sù
妇联,fùlián,fùlián,fù lián
声誉,shēngyù,shēngyù,shēng yù
大限,dàxiàn,dàxiàn,dà xiàn
说不定,shuōbudìng,shuōbudìng,shuō bu dìng
库存,kùcún,kùcún,kù cún
可观,kěguān,kěguān,kě guān
智能,zhìnéng,zhìnéng,zhì néng
繁殖,fánzhí,fánzhí,fán zhí
亲眼,qīnyǎn,qīnyǎn,qīn yǎn
号码,hàomǎ,hàomǎ,hào mǎ
热门,rèmén,rèmén,rè mén
华文,huáwén,huáwén,huá wén
玩具,wánjù,wánjù,wán jù
社科,shèkē,shèkē,shè kē
音乐会,yīnyuèhuì,yīnyuèhuì,yīn yuè huì
奉行,fèngxíng,fèngxíng,fèng xíng
肌肉,jīròu,jīròu,jī ròu
工夫,gōngfu,gōngfu,gōng fu
播放,bōfàng,bōfàng,bō fàng
什么的,shénmede,shénmede,shén me de
男篮,nánlán,nánlán,nán lán
人造,rénzào,rénzào,rén zào
步行,bùxíng,bùxíng,bù xíng
凝聚力,níngjùlì,níngjùlì,níng jù lì
影子,yǐngzi,yǐngzi,yǐng zi
后悔,hòuhuǐ,hòuhuǐ,hòu huǐ
震动,zhèndòng,zhèndòng,zhèn dòng
编写,biānxiě,biānxiě,biān xiě
进度,jìndù,jìndù,jìn dù
排列,páiliè,páiliè,pái liè
补助,bǔzhù,bǔzhù,bǔ zhù
何不,hébù,hébù,hé bù
处以,chǔyǐ,chǔyǐ,chǔ yǐ
录音,lùyīn,lùyīn,lù yīn
用心,yòngxīn,yòngxīn,yòng xīn
至关重要,zhìguān-zhòngyào,zhìguān zhòngyào,zhì guān zhòng yào
往事,wǎngshì,wǎngshì,wǎng shì
一发,yīfā,yīfā,yī fā
下乡,xiàxiāng,xiàxiāng,xià xiāng
高等教育,gāoděng jiàoyù,gāoděng jiàoyù,gāo děng jiào yù
下一步,xiàyībù,xiàyībù,xià yī bù
法学,fǎxué,fǎxué,fǎ xué
通车,tōngchē,tōngchē,tōng chē
定向,dìngxiàng,dìngxiàng,dìng xiàng
音像,yīnxiàng,yīnxiàng,yīn xiàng
惊奇,jīngqí,jīngqí,jīng qí
关联,guānlián,guānlián,guān lián
猛烈,měngliè,měngliè,měng liè
连日,liánrì,liánrì,lián rì
争端,zhēngduān,zhēngduān,zhēng duān
检疫,jiǎnyì,jiǎnyì,jiǎn yì
实话,shíhuà,shíhuà,shí huà
侦查,zhēnchá,zhēnchá,zhēn chá
四方,sìfāng,sìfāng,sì fāng
屏幕,píngmù,píngmù,píng mù
层面,céngmiàn,céngmiàn,céng miàn
气体,qìtǐ,qìtǐ,qì tǐ
公共汽车,gōnggòng qìchē,gōnggòng qìchē,gōng gòng qì chē
明亮,míngliàng,míngliàng,míng liàng
