term,pinyin,cleaned_pinyin
晚节,wǎnjié,wǎnjié
早衰,zǎoshuāi,zǎoshuāi
一顺儿,yīshùnr,yīshùnr
白灰,báihuī,báihuī
黑线,hēixiàn,hēixiàn
借调,jièdiào,jièdiào
宫室,gōngshì,gōngshì
幽怨,yōuyuàn,yōuyuàn
教友,jiàoyǒu,jiàoyǒu
征讨,zhēngtǎo,zhēngtǎo
铁索,tiěsuǒ,tiěsuǒ
烫金,tàngjīn,tàngjīn
云图,yúntú,yúntú
灌浆,guànjiāng,guànjiāng
厮打,sīdǎ,sīdǎ
拍案而起,pāi'àn'érqǐ,pāi àn érqǐ
外乡人,wàixiāngrén,wàixiāngrén
数目字,shùmùzì,shùmùzì
一掷千金,yīzhì-qiānjīn,yīzhì qiānjīn
荡气回肠,dàngqì-huícháng,dàngqì huícháng
青光眼,qīngguāngyǎn,qīngguāngyǎn
动人心弦,dòngrénxīnxián,dòngrénxīnxián
庐山真面目,lúshān zhēn miànmù,lúshān zhēn miànmù
文房四宝,wénfáng sìbǎo,wénfáng sìbǎo
阴柔,yīnróu,yīnróu
阉割,yāngē,yāngē
湮灭,yānmiè,yānmiè
脚背,jiǎobèi,jiǎobèi
倒戈,dǎogē,dǎogē
瘦子,shòuzi,shòuzi
锈蚀,xiùshí,xiùshí
内助,nèizhù,nèizhù
彻骨,chègǔ,chègǔ
神品,shénpǐn,shénpǐn
低贱,dījiàn,dījiàn
腹水,fùshuǐ,fùshuǐ
撩拨,liáobō,liáobō
得计,déjì,déjì
飒飒,sàsà,sàsà
儒者,rúzhě,rúzhě
单字,dānzì,dānzì
虚火,xūhuǒ,xūhuǒ
挂毯,guàtǎn,guàtǎn
湍流,tuānliú,tuānliú
奶水,nǎishuǐ,nǎishuǐ
隐伏,yǐnfú,yǐnfú
请调,qǐngdiào,qǐngdiào
烦乱,fánluàn,fánluàn
方剂,fāngjì,fāngjì
预热,yùrè,yùrè
献媚,xiànmèi,xiànmèi
臆测,yìcè,yìcè
保命,bǎomìng,bǎomìng
拖沓,tuōtà,tuōtà
敢为人先,gǎnwéirénxiān,gǎnwéirénxiān
邀请信,yāoqǐngxìn,yāoqǐngxìn
伤天害理,shāngtiān-hàilǐ,shāngtiān hàilǐ
烽火台,fēnghuǒtái,fēnghuǒtái
实干家,shígànjiā,shígànjiā
小便宜,xiǎopiányi,xiǎopiányi
平面图,píngmiàntú,píngmiàntú
药剂师,yàojìshī,yàojìshī
高效能,gāoxiàonéng,gāoxiàonéng
旅行袋,lǚxíngdài,lǚxíngdài
桑拿浴,sāngnáyù,sāngnáyù
恶报,èbào,èbào
攒钱,zǎnqián,zǎnqián
寄情,jìqíng,jìqíng
扭打,niǔdǎ,niǔdǎ
魔头,mótóu,mótóu
