term,pinyin,cleaned_pinyin
年糕,niángāo,niángāo
民怨,mínyuàn,mínyuàn
倾轧,qīngyà,qīngyà
咏唱,yǒngchàng,yǒngchàng
又及,yòují,yòují
旧病,jiùbìng,jiùbìng
误用,wùyòng,wùyòng
复位,fùwèi,fùwèi
通途,tōngtú,tōngtú
收服,shōufú,shōufú
钦差,qīnchāi,qīnchāi
故园,gùyuán,gùyuán
弹子,dànzi,dànzi
报站,bàozhàn,bàozhàn
红烛,hóngzhú,hóngzhú
开台,kāitái,kāitái
期年,qīnián,qīnián
饯行,jiànxíng,jiànxíng
球艺,qiúyì,qiúyì
桑梓,sāngzǐ,sāngzǐ
西元,xīyuán,xīyuán
极盛,jíshèng,jíshèng
烧碱,shāojiǎn,shāojiǎn
没门儿,méiménr,méiménr
天长日久,tiāncháng-rìjiǔ,tiāncháng rìjiǔ
依山傍水,yīshān-bàngshuǐ,yīshān bàngshuǐ
音乐电视,yīnyuè diànshì,yīnyuè diànshì
筑巢引凤,zhùcháo-yǐnfèng,zhùcháo yǐnfèng
疯疯癫癫,fēngfēng-diāndiān,fēngfēng diāndiān
邪道,xiédào,xiédào
木讷,mùnè,mùnè
怪癖,guàipǐ,guàipǐ
横祸,hènghuò,hènghuò
下颚,xià'è,xià è
道班,dàobān,dàobān
火眼,huǒyǎn,huǒyǎn
名厨,míngchú,míngchú
告警,gàojǐng,gàojǐng
二元论,èryuánlùn,èryuánlùn
炒鱿鱼,chǎoyóuyú,chǎoyóuyú
煤气罐,méiqìguàn,méiqìguàn
剖腹产,pōufùchǎn,pōufùchǎn
哈密瓜,hāmìguā,hāmìguā
展映,zhǎnyìng,zhǎnyìng
枉然,wǎngrán,wǎngrán
太甚,tàishèn,tàishèn
报审,bàoshěn,bàoshěn
媚外,mèiwài,mèiwài
硬座,yìngzuò,yìngzuò
涨水,zhǎngshuǐ,zhǎngshuǐ
草鱼,cǎoyú,cǎoyú
蜜饯,mìjiàn,mìjiàn
无方,wúfāng,wúfāng
桃色,táosè,táosè
珍闻,zhēnwén,zhēnwén
迷醉,mízuì,mízuì
研磨,yánmó,yánmó
方步,fāngbù,fāngbù
油泵,yóubèng,yóubèng
剧评,jùpíng,jùpíng
粗重,cūzhòng,cūzhòng
眉清目秀,méiqīng-mùxiù,méiqīng mùxiù
理亏,lǐkuī,lǐkuī
暴风骤雨,bàofēng-zhòuyǔ,bàofēng zhòuyǔ
狡辩,jiǎobiàn,jiǎobiàn
装傻,zhuāngshǎ,zhuāngshǎ
囚室,qiúshì,qiúshì
甲胄,jiǎzhòu,jiǎzhòu
夫君,fūjūn,fūjūn
贤明,xiánmíng,xiánmíng
竞销,jìngxiāo,jìngxiāo
四则,sìzé,sìzé
调令,diàolìng,diàolìng
怒视,nùshì,nùshì
金印,jīnyìn,jīnyìn
开初,kāichū,kāichū
忌妒,jìdu,jìdu
超员,chāoyuán,chāoyuán
冷凝,lěngníng,lěngníng
踏青,tàqīng,tàqīng
逼视,bīshì,bīshì
信手拈来,xìnshǒu-niānlái,xìnshǒu niānlái
勉为其难,miǎnwéiqínán,miǎnwéiqínán
心惊胆战,xīnjīng-dǎnzhàn,xīnjīng dǎnzhàn
循环往复,xúnhuán-wǎngfù,xúnhuán wǎngfù
吹毛求疵,chuīmáo-qiúcī,chuīmáo qiúcī
万籁俱寂,wànlài-jùjì,wànlài jùjì
康庄大道,kāngzhuāng-dàdào,kāngzhuāng dàdào
东奔西走,dōngbēn-xīzǒu,dōngbēn xīzǒu
坐姿,zuòzī,zuòzī
共犯,gòngfàn,gòngfàn
民变,mínbiàn,mínbiàn
毡帽,zhānmào,zhānmào
豆腐渣,dòufuzhā,dòufuzhā
连贯性,liánguànxìng,liánguànxìng
电子琴,diànzǐqín,diànzǐqín
悲喜剧,bēi-xǐjù,bēi xǐjù
共和制,gònghézhì,gònghézhì
牛皮癣,niúpíxuǎn,niúpíxuǎn
电子管,diànzǐguǎn,diànzǐguǎn
华而不实,huá'érbùshí,huá érbùshí
多灾多难,duōzāi-duōnàn,duōzāi duōnàn
天长地久,tiāncháng-dìjiǔ,tiāncháng dìjiǔ
娇生惯养,jiāoshēng-guànyǎng,jiāoshēng guànyǎng
不共戴天,bùgòng-dàitiān,bùgòng dàitiān
铜墙铁壁,tóngqiáng-tiěbì,tóngqiáng tiěbì
勾兑,gōuduì,gōuduì
前臂,qiánbì,qiánbì
纤弱,xiānruò,xiānruò
愤激,fènjī,fènjī
巨擘,jùbò,jùbò
大站,dàzhàn,dàzhàn
枪把,qiāngbà,qiāngbà
边线,biānxiàn,biānxiàn
城府,chéngfǔ,chéngfǔ
责打,zédǎ,zédǎ
皮条,pítiáo,pítiáo
走穴,zǒuxué,zǒuxué
墨鱼,mòyú,mòyú
蝗灾,huángzāi,huángzāi
评弹,píngtán,píngtán
受屈,shòuqū,shòuqū
负心,fùxīn,fùxīn
厌食,yànshí,yànshí
重名,chóngmíng,chóngmíng
顿然,dùnrán,dùnrán
下泻,xiàxiè,xiàxiè
答允,dāyǔn,dāyǔn
生客,shēngkè,shēngkè
藿香,huòxiāng,huòxiāng
警棍,jǐnggùn,jǐnggùn
瘀血,yūxuè,yūxuè
祭文,jìwén,jìwén
垂手,chuíshǒu,chuíshǒu
邪路,xiélù,xiélù
泥淖,nínào,nínào
肘子,zhǒuzi,zhǒuzi
铁腕,tiěwàn,tiěwàn
咿呀,yīyā,yīyā
弃儿,qì'ér,qì ér
心力交瘁,xīnlì-jiāocuì,xīnlì jiāocuì
正当防卫,zhèngdàng fángwèi,zhèngdàng fángwèi
粉墨登场,fěnmò-dēngchǎng,fěnmò dēngchǎng
三教九流,sānjiào-jiǔliú,sānjiào jiǔliú
一盘散沙,yīpán-sǎnshā,yīpán sǎnshā
一丁点儿,yīdīngdiǎnr,yīdīngdiǎnr
下不为例,xiàbùwéilì,xiàbùwéilì
良莠不齐,liángyǒu-bùqí,liángyǒu bùqí
居留证,jūliúzhèng,jūliúzhèng
聘用制,pìnyòngzhì,pìnyòngzhì
话语权,huàyǔquán,huàyǔquán
摄影棚,shèyǐngpéng,shèyǐngpéng
临界点,línjièdiǎn,línjièdiǎn
宅门,zháimén,zháimén
童趣,tóngqù,tóngqù
白芷,báizhǐ,báizhǐ
袖章,xiùzhāng,xiùzhāng
断案,duàn'àn,duàn àn
风洞,fēngdòng,fēngdòng
行诈,xíngzhà,xíngzhà
攀亲,pānqīn,pānqīn
空寂,kōngjì,kōngjì
雇农,gùnóng,gùnóng
企管,qǐguǎn,qǐguǎn
戏楼,xìlóu,xìlóu
快事,kuàishì,kuàishì
腥气,xīngqi,xīngqi
函电,hándiàn,hándiàn
取火,qǔhuǒ,qǔhuǒ
投敌,tóudí,tóudí
势态,shìtài,shìtài
蜕化,tuìhuà,tuìhuà
接客,jiēkè,jiēkè
睡袋,shuìdài,shuìdài
总集,zǒngjí,zǒngjí
换班,huànbān,huànbān
套汇,tàohuì,tàohuì
练达,liàndá,liàndá
铲子,chǎnzi,chǎnzi
退烧,tuìshāo,tuìshāo
甘美,gānměi,gānměi
云杉,yúnshān,yúnshān
上脸,shàngliǎn,shàngliǎn
邀集,yāojí,yāojí
神交,shénjiāo,shénjiāo
有一手,yǒuyīshǒu,yǒuyīshǒu
椰林,yēlín,yēlín
大月,dàyuè,dàyuè
水母,shuǐmǔ,shuǐmǔ
夜话,yèhuà,yèhuà
咕嘟,gūdu,gūdu
咕嘟,gūdū,gūdū
恶语,èyǔ,èyǔ
见告,jiàngào,jiàngào
墨家,mòjiā,mòjiā
轰响,hōngxiǎng,hōngxiǎng
编校,biānjiào,biānjiào
美艳,měiyàn,měiyàn
丽质,lìzhì,lìzhì
失禁,shījìn,shījìn
顺水推舟,shùnshuǐ-tuīzhōu,shùnshuǐ tuīzhōu
声色俱厉,shēngsè-jùlì,shēngsè jùlì
另当别论,lìngdāng-biélùn,lìngdāng biélùn
招摇撞骗,zhāoyáo-zhuàngpiàn,zhāoyáo zhuàngpiàn
改弦更张,gǎixián-gēngzhāng,gǎixián gēngzhāng
众口一词,zhòngkǒu-yīcí,zhòngkǒu yīcí
老老少少,lǎolǎo-shàoshào,lǎolǎo shàoshào
风吹雨打,fēngchuī-yǔdǎ,fēngchuī yǔdǎ
是非曲直,shìfēi-qūzhí,shìfēi qūzhí
双重国籍,shuāngchóng guójí,shuāngchóng guójí
无底洞,wúdǐdòng,wúdǐdòng
赴汤蹈火,fùtāng-dǎohuǒ,fùtāng dǎohuǒ
打字员,dǎzìyuán,dǎzìyuán
箱底,xiāngdǐ,xiāngdǐ
领结,lǐngjié,lǐngjié
斗法,dòufǎ,dòufǎ
浸染,jìnrǎn,jìnrǎn
佣工,yōnggōng,yōnggōng
披散,pīsan,pīsan
自恋,zìliàn,zìliàn
射频,shèpín,shèpín
参禅,cānchán,cānchán
边门,biānmén,biānmén
僧尼,sēngní,sēngní
龙舞,lóngwǔ,lóngwǔ
漫话,mànhuà,mànhuà
指斥,zhǐchì,zhǐchì
土布,tǔbù,tǔbù
刀伤,dāoshāng,dāoshāng
超等,chāoděng,chāoděng
烧纸,shāozhǐ,shāozhǐ
大猩猩,dàxīngxing,dàxīngxing
急转弯,jízhuǎnwān,jízhuǎnwān
边防线,biānfángxiàn,biānfángxiàn
挂车,guàchē,guàchē
水笔,shuǐbǐ,shuǐbǐ
两利,liǎnglì,liǎnglì
扬鞭,yángbiān,yángbiān
贞节,zhēnjié,zhēnjié
沏茶,qīchá,qīchá
独门,dúmén,dúmén
骂娘,màniáng,màniáng
锅台,guōtái,guōtái
游兴,yóuxìng,yóuxìng
下房,xiàfáng,xiàfáng
婚俗,hūnsú,hūnsú
文身,wénshēn,wénshēn
水枪,shuǐqiāng,shuǐqiāng
作孽,zuòniè,zuòniè
从长计议,cóngcháng-jìyì,cóngcháng jìyì
昂首阔步,ángshǒu-kuòbù,ángshǒu kuòbù
楚楚动人,chǔchǔ-dòngrén,chǔchǔ dòngrén
颠倒黑白,diāndǎo-hēibái,diāndǎo hēibái
遮天蔽日,zhētiān-bìrì,zhētiān bìrì
索然无味,suǒrán-wúwèi,suǒrán wúwèi
生离死别,shēnglí-sǐbié,shēnglí sǐbié
段位,duànwèi,duànwèi
空中楼阁,kōngzhōng-lóugé,kōngzhōng lóugé
礼法,lǐfǎ,lǐfǎ
舍己救人,shějǐ-jiùrén,shějǐ jiùrén
七手八脚,qīshǒu-bājiǎo,qīshǒu bājiǎo
祸不单行,huòbùdānxíng,huòbùdānxíng
左右逢源,zuǒyòu-féngyuán,zuǒyòu féngyuán
隐退,yǐntuì,yǐntuì
冰凌,bīnglíng,bīnglíng
绒布,róngbù,róngbù
土肥,tǔféi,tǔféi
存世,cúnshì,cúnshì
棉鞋,miánxié,miánxié
历练,lìliàn,lìliàn
烛火,zhúhuǒ,zhúhuǒ
母带,mǔdài,mǔdài
开恩,kāi'ēn,kāi ēn
义女,yìnǚ,yìnǚ
击水,jīshuǐ,jīshuǐ
锈迹,xiùjì,xiùjì
洋化,yánghuà,yánghuà
米色,mǐsè,mǐsè
配音,pèiyīn,pèiyīn
教旨,jiàozhǐ,jiàozhǐ
项背,xiàngbèi,xiàngbèi
休戚相关,xiūqī-xiāngguān,xiūqī xiāngguān
钾盐,jiǎyán,jiǎyán
患处,huànchù,huànchù
估摸,gūmo,gūmo
印子,yìnzi,yìnzi
泥腿子,nítuǐzi,nítuǐzi
鱼水情,yúshuǐqíng,yúshuǐqíng
高血脂,gāoxuèzhī,gāoxuèzhī
席梦思,xímèngsī,xímèngsī
信息论,xìnxīlùn,xìnxīlùn
校友会,xiàoyǒuhuì,xiàoyǒuhuì
抚今追昔,fǔjīn-zhuīxī,fǔjīn zhuīxī
闭关锁国,bìguān-suǒguó,bìguān suǒguó
劳神,láoshén,láoshén
上峰,shàngfēng,shàngfēng
声气,shēngqì,shēngqì
明面,míngmiàn,míngmiàn
兼管,jiānguǎn,jiānguǎn
流泻,liúxiè,liúxiè
木屑,mùxiè,mùxiè
创面,chuāngmiàn,chuāngmiàn
超编,chāobiān,chāobiān
臆断,yìduàn,yìduàn
撷取,xiéqǔ,xiéqǔ
小篆,xiǎozhuàn,xiǎozhuàn
家丑,jiāchǒu,jiāchǒu
公心,gōngxīn,gōngxīn
肉猪,ròuzhū,ròuzhū
环海,huánhǎi,huánhǎi
云雀,yúnquè,yúnquè
末世,mòshì,mòshì
代培,dàipéi,dàipéi
重赏,zhòngshǎng,zhòngshǎng
赋闲,fùxián,fùxián
根茎,gēnjīng,gēnjīng
门径,ménjìng,ménjìng
僧俗,sēngsú,sēngsú
龙灯,lóngdēng,lóngdēng
