term,pinyin
圣地,shèngdì
下班,xiàbān
压缩,yāsuō
鲜血,xiānxuè
圣诞,shèngdàn
有期徒刑,yǒuqī túxíng
法西斯,fǎxīsī
起码,qǐmǎ
东欧,dōng'ōu
苍白,cāngbái
高价,gāojià
黄金周,huángjīnzhōu
战斗力,zhàndòulì
勘探,kāntàn
邻国,línguó
遗体,yítǐ
传媒,chuánméi
织品,zhīpǐn
填补,tiánbǔ
剧团,jùtuán
上扬,shàngyáng
暗示,ànshì
往年,wǎngnián
束缚,shùfù
回合,huíhé
举重,jǔzhòng
天生,tiānshēng
时装,shízhuāng
商家,shāngjiā
走路,zǒulù
势必,shìbì
放大,fàngdà
贩毒,fàndú
供电,gōngdiàn
就中,jiùzhōng
毫米,háomǐ
构筑,gòuzhù
根源,gēnyuán
成全,chéngquán
揭晓,jiēxiǎo
拼搏,pīnbó
笑话,xiàohua
阴谋,yīnmóu
确切,quèqiè
吸取,xīqǔ
水准,shuǐzhǔn
农家,nóngjiā
降落,jiàngluò
建设性,jiànshèxìng
乐团,yuètuán
越过,yuèguò
国境,guójìng
廉政建设,liánzhèng jiànshè
重影,chóngyǐng
帝国主义,dìguó zhǔyì
有意思,yǒuyìsi
元帅,yuánshuài
攻坚,gōngjiān
万分,wànfēn
花生,huāshēng
过人,guòrén
投机,tóujī
税制,shuìzhì
证券交易所,zhèngquàn jiāoyìsuǒ
兴致,xìngzhì
相机,xiàngjī
消毒,xiāodú
语气,yǔqì
老是,lǎoshì
忽略,hūlüè
艰辛,jiānxīn
外向,wàixiàng
畅通,chàngtōng
做人,zuòrén
揭开,jiēkāi
向往,xiàngwǎng
护法,hùfǎ
尤为,yóuwéi
适宜,shìyí
气象台,qìxiàngtái
电机,diànjī
话语,huàyǔ
不宜,bùyí
治国,zhìguó
天安门,tiān'ānmén
源头,yuántóu
整合,zhěnghé
共计,gòngjì
办案,bàn'àn
马车,mǎchē
一派,yīpài
占用,zhànyòng
军部,jūnbù
民俗,mínsú
第一线,dì-yīxiàn
迈进,màijìn
装甲,zhuāngjiǎ
花样,huāyàng
传奇,chuánqí
里头,lǐtou
义务教育,yìwù jiàoyù
按时,ànshí
滞后,zhìhòu
一经,yījīng
自律,zìlǜ
小子,xiǎozǐ
小子,xiǎozi
疫苗,yìmiáo
作法,zuòfǎ
出线,chūxiàn
岩石,yánshí
不料,bùliào
大姐,dàjiě
如期,rúqī
昨晚,zuówǎn
大潮,dàcháo
方程,fāngchéng
飞行员,fēixíngyuán
灾民,zāimín
动武,dòngwǔ
公爵,gōngjué
书写,shūxiě
抗击,kàngjī
榜首,bǎngshǒu
适度,shìdù
会面,huìmiàn
得益,déyì
责任人,zérènrén
堪称,kānchēng
缘故,yuángù
两侧,liǎngcè
规格,guīgé
屁股,pìgu
交代,jiāodài
民心,mínxīn
介入,jièrù
大半,dàbàn
厂房,chǎngfáng
雕塑,diāosù
诚意,chéngyì
投向,tóuxiàng
行事,xíngshì
战绩,zhànjì
会要,huìyào
开玩笑,kāiwánxiào
取缔,qǔdì
负有,fùyǒu
乡下,xiāngxia
假冒伪劣,jiǎmào-wěiliè
教会,jiàohuì
贿赂,huìlù
困惑,kùnhuò
上山,shàngshān
体育馆,tǐyùguǎn
骨头,gǔtou
沉思,chénsī
网点,wǎngdiǎn
大西洋,dàxīyáng
定价,dìngjià
议定,yìdìng
钢琴,gāngqín
禁区,jìnqū
出面,chūmiàn
别墅,biéshù
彩电,cǎidiàn
官司,guānsi
名作,míngzuò
核电,hédiàn
实效,shíxiào
核算,hésuàn
拯救,zhěngjiù
钢材,gāngcái
侵权,qīnquán
修理,xiūlǐ
查明,chámíng
手臂,shǒubì
趋于,qūyú
过电,guòdiàn
降雨,jiàngyǔ
家财,jiācái
篮子,lánzi
左手,zuǒshǒu
前年,qiánnián
临近,línjìn
部下,bùxià
警戒,jǐngjiè
理智,lǐzhì
股价,gǔjià
兑换,duìhuàn
欢喜,huānxǐ
子公司,zǐgōngsī
得主,dézhǔ
特地,tèdì
拉动,lādòng
向来,xiànglái
婚礼,hūnlǐ
辅导,fǔdǎo
为难,wéinán
兴国,xīngguó
暂行,zànxíng
再见,zàijiàn
一幕,yīmù
充当,chōngdāng
忠实,zhōngshí
识别,shíbié
修养,xiūyǎng
电网,diànwǎng
原谅,yuánliàng
岂不,qǐbù
党建,dǎngjiàn
譬如,pìrú
勃发,bófā
大同,dàtóng
裁决,cáijué
拼命,pīnmìng
航行,hángxíng
罪恶,zuì'è
水源,shuǐyuán
大政,dàzhèng
有色,yǒusè
目的地,mùdìdì
邮票,yóupiào
日渐,rìjiàn
肩负,jiānfù
行将,xíngjiāng
忙碌,mánglù
盗窃,dàoqiè
场馆,chǎngguǎn
戏曲,xìqǔ
缴纳,jiǎonà
截止,jiézhǐ
连连,liánlián
何必,hébì
亲身,qīnshēn
叔叔,shūshu
淀粉,diànfěn
停车,tíngchē
精灵,jīnglíng
广播电台,guǎngbō diàntái
高地,gāodì
播出,bōchū
火炬,huǒjù
国画,guóhuà
变更,biàngēng
其人,qírén
教室,jiàoshì
行家,hángjia
仲裁,zhòngcái
立案,lì'àn
实证,shízhèng
下半场,xiàbànchǎng
闪烁,shǎnshuò
萝卜,luóbo
慷慨,kāngkǎi
狠狠,hěnhěn
置于,zhìyú
颤抖,chàndǒu
从严,cóngyán
粉碎,fěnsuì
英镑,yīngbàng
集训,jíxùn
序幕,xùmù
通人,tōngrén
怀念,huáiniàn
构造,gòuzào
巴巴,bābā
目击,mùjī
虽说,suīshuō
急于,jíyú
用不着,yòngbuzháo
共处,gòngchǔ
门人,ménrén
历经,lìjīng
台风,táifēng
孤立,gūlì
发市,fāshì
连忙,liánmáng
外语,wàiyǔ
疲劳,píláo
盼望,pànwàng
寿命,shòumìng
出让,chūràng
装修,zhuāngxiū
耶稣,yēsū
督促,dūcù
分支,fēnzhī
无辜,wúgū
符号,fúhào
晚年,wǎnnián
老虎,lǎohǔ
睡着,shuìzháo
均价,jūnjià
黄土,huángtǔ
落户,luòhù
出事,chūshì
起伏,qǐfú
中非,zhōngfēi
滥用,lànyòng
肿瘤,zhǒngliú
满怀,mǎnhuái
时分,shífēn
没事,méishì
金融市场,jīnróng shìchǎng
流露,liúlù
巧妙,qiǎomiào
拉丁,lādīng
游览,yóulǎn
简化,jiǎnhuà
打断,dǎduàn
多半,duōbàn
自来,zìlái
听众,tīngzhòng
打扮,dǎban
腾飞,téngfēi
春风,chūnfēng
预言,yùyán
好意思,hǎoyìsi
应市,yìngshì
开水,kāishuǐ
行时,xíngshí
在职,zàizhí
中亚,zhōngyà
次日,cìrì
事变,shìbiàn
童年,tóngnián
筹建,chóujiàn
开战,kāizhàn
这会儿,zhèhuìr
身高,shēngāo
刑事责任,xíngshì zérèn
死人,sǐrén
十足,shízú
纪念馆,jìniànguǎn
亲密,qīnmì
人名,rénmíng
周刊,zhōukān
瞄准,miáozhǔn
孔子,kǒngzǐ
能干,nénggàn
隐藏,yǐncáng
调和,tiáohé
革新,géxīn
饮用,yǐnyòng
祖父,zǔfù
伪造,wěizào
此地,cǐdì
海滨,hǎibīn
太子,tàizǐ
脆弱,cuìruò
家规,jiāguī
公款,gōngkuǎn
照相,zhàoxiàng
进化,jìnhuà
多样化,duōyànghuà
服用,fúyòng
防疫,fángyì
共同体,gòngtóngtǐ
为时,wéishí
增值税,zēngzhíshuì
独资,dúzī
本事,běnshì
本事,běnshi
镜子,jìngzi
自家,zìjiā
分解,fēnjiě
集装箱,jízhuāngxiāng
繁华,fánhuá
搜集,sōují
平日,píngrì
二战,èrzhàn
人世,rénshì
将就,jiāngjiu
熊猫,xióngmāo
通俗,tōngsú
电气,diànqì
医护,yīhù
汇价,huìjià
不无,bùwú
趋向,qūxiàng
首长,shǒuzhǎng
根据地,gēnjùdì
柜台,guìtái
终止,zhōngzhǐ
故障,gùzhàng
常人,chángrén
管辖,guǎnxiá
上报,shàngbào
楼房,lóufáng
自然保护区,zìrán bǎohùqū
外籍,wàijí
中看,zhōngkàn
农作物,nóngzuòwù
出院,chūyuàn
自然灾害,zìrán zāihài
新春,xīnchūn
东风,dōngfēng
工委,gōngwěi
由得,yóude
议政,yìzhèng
打造,dǎzào
教徒,jiàotú
孙子,sūnzi
堂会,tánghuì
学成,xuéchéng
非正式,fēizhèngshì
党风,dǎngfēng
多事,duōshì
球星,qiúxīng
遗留,yíliú
知名度,zhīmíngdù
将领,jiànglǐng
用武,yòngwǔ
反弹,fǎntán
民国,mínguó
生成,shēngchéng
所得税,suǒdéshuì
植树,zhíshù
官僚,guānliáo
美人,měirén
口头,kǒutóu
救治,jiùzhì
过半,guòbàn
预赛,yùsài
证人,zhèngren
领取,lǐngqǔ
节能,jiénéng
入选,rùxuǎn
指引,zhǐyǐn
执照,zhízhào
企事业,qǐ-shìyè
驻军,zhùjūn
误解,wùjiě
试行,shìxíng
以求,yǐqiú
特务,tèwù
特务,tèwu
笼罩,lǒngzhào
军舰,jūnjiàn
遍布,biànbù
余额,yú'é
防洪,fánghóng
陈列,chénliè
逃避,táobì
大举,dàjǔ
课堂,kètáng
历代,lìdài
悲哀,bēi'āi
香烟,xiāngyān
刑法,xíngfa
刑法,xíngfǎ
前方,qiánfāng
排球,páiqiú
团队,tuánduì
互访,hùfǎng
本能,běnnéng
牡丹,mǔdān
纳米,nàmǐ
硬件,yìngjiàn
席位,xíwèi
往日,wǎngrì
不意,bùyì
激光,jīguāng
汗水,hànshuǐ
难点,nándiǎn
全能,quánnéng
之首,zhīshǒu
派别,pàibié
驻地,zhùdì
搞活,gǎohuó
下落,xiàluò
反思,fǎnsī
子弟,zǐdì
低头,dītóu
深思,shēnsī
行径,xíngjìng
倾听,qīngtīng
一例,yīlì
转型,zhuǎnxíng
门市,ménshì
牲畜,shēngchù
头号,tóuhào
大爷,dàye
大爷,dàyé
上课,shàngkè
地形,dìxíng
生变,shēngbiàn
国道,guódào
妥协,tuǒxié
落地,luòdì
均衡,jūnhéng
路口,lùkǒu
化合,huàhé
注意力,zhùyìlì
冷战,lěngzhan
冷战,lěngzhàn
史料,shǐliào
党校,dǎngxiào
参照,cānzhào
结局,jiéjú
家小,jiāxiǎo
不甘,bùgān
两边,liǎngbiān
调度,diàodù
餐饮,cānyǐn
化解,huàjiě
信赖,xìnlài
大名,dàmíng
辛勤,xīnqín
生地,shēngdì
通讯员,tōngxùnyuán
专业化,zhuānyèhuà
酝酿,yùnniàng
双向,shuāngxiàng
顺序,shùnxù
卓越,zhuóyuè
放射,fàngshè
议事,yìshì
楼梯,lóutī
偿还,chánghuán
干线,gànxiàn
话剧,huàjù
外边,wàibian
辩护,biànhù
毛泽东思想,máozédōng sīxiǎng
翅膀,chìbǎng
作成,zuòchéng
丰富多彩,fēngfù-duōcǎi
自动化,zìdònghuà
减免,jiǎnmiǎn
谅解,liàngjiě
定点,dìngdiǎn
净化,jìnghuà
君子,jūnzǐ
羡慕,xiànmù
献身,xiànshēn
群岛,qúndǎo
潜艇,qiántǐng
复合,fùhé
领事,lǐngshì
感叹,gǎntàn
行军,xíngjūn
下手,xiàshǒu
民主党派,mínzhǔ dǎngpài
迎战,yíngzhàn
急救,jíjiù
扭亏,niǔkuī
上半场,shàngbànchǎng
面子,miànzi
高声,gāoshēng
中队,zhōngduì
良心,liángxīn
后方,hòufāng
歌剧,gējù
天堂,tiāntáng
古今,gǔjīn
学时,xuéshí
滑坡,huápō
黄昏,huánghūn
红十字会,hóngshízìhuì
昼夜,zhòuyè
难怪,nánguài
侧面,cèmiàn
上岗,shànggǎng
旺盛,wàngshèng
生事,shēngshì
真心,zhēnxīn
情愿,qíngyuàn
痛快,tòngkuài
诚实,chéngshí
欣喜,xīnxǐ
保密,bǎomì
勤劳,qínláo
压迫,yāpò
依次,yīcì
大娘,dàniáng
沿线,yánxiàn
坠毁,zhuìhuǐ
拉巴,lāba
叶子,yèzi
做事,zuòshì
偏偏,piānpiān
和风,héfēng
胡同,hútòng
所有权,suǒyǒuquán
中和,zhōnghé
隧道,suìdào
国立,guólì
帐篷,zhàngpeng
贯穿,guànchuān
果真,guǒzhēn
交易会,jiāoyìhuì
参政,cānzhèng
旧时,jiùshí
慈善,císhàn
促销,cùxiāo
头顶,tóudǐng
拥抱,yōngbào
外企,wàiqǐ
园林,yuánlín
产地,chǎndì
浪潮,làngcháo
操纵,cāozòng
性别,xìngbié
负面,fùmiàn
点燃,diǎnrán
真主,zhēnzhǔ
完工,wángōng
署名,shǔmíng
宁静,níngjìng
低价,dījià
促成,cùchéng
冲动,chōngdòng
导体,dǎotǐ
落成,luòchéng
构想,gòuxiǎng
人主,rénzhǔ
开阔,kāikuò
地板,dìbǎn
才华,cáihuá
地道,dìdào
地道,dìdao
江湖,jiānghú
名胜,míngshèng
奈何,nàihé
真情,zhēnqíng
公寓,gōngyù
政务,zhèngwù
互助,hùzhù
文化大革命,wénhuà dàgémìng
精英,jīngyīng
生产率,shēngchǎnlǜ
矿山,kuàngshān
珍珠,zhēnzhū
评审,píngshěn
跳水,tiàoshuǐ
洋溢,yángyì
达标,dábiāo
小将,xiǎojiàng
万万,wànwàn
餐馆,cānguǎn
相差,xiāngchà
起初,qǐchū
凤凰,fènghuáng
淡淡,dàndàn
洋洋,yángyáng
缴获,jiǎohuò
等同,děngtóng
普查,pǔchá
相识,xiāngshí
人流,rénliú
长方,chángfāng
输送,shūsòng
社团,shètuán
祝福,zhùfú
豆腐,dòufu
可笑,kěxiào
语法,yǔfǎ
知情,zhīqíng
征集,zhēngjí
歹徒,dǎitú
警官,jǐngguān
假期,jiàqī
抽查,chōuchá
对联,duìlián
红火,hónghuo
跟随,gēnsuí
勤奋,qínfèn
动向,dòngxiàng
附属,fùshǔ
欣慰,xīnwèi
火焰,huǒyàn
次于,cìyú
图像,túxiàng
奇特,qítè
新区,xīnqū
会党,huìdǎng
敞开,chǎngkāi
税款,shuìkuǎn
上当,shàngdàng
解散,jiěsàn
细菌,xìjūn
雷达,léidá
世代,shìdài
栽培,zāipéi
场主,chǎngzhǔ
作主,zuòzhǔ
就职,jiùzhí
有偿,yǒucháng
片面,piànmiàn
司令员,sīlìngyuán
来不及,láibují
币市,bìshì
工贸,gōngmào
空气质量,kōngqì zhìliàng
容纳,róngnà
社论,shèlùn
不由得,bùyóude
军政,jūnzhèng
挽回,wǎnhuí
奋力,fènlì
版本,bǎnběn
黎明,límíng
单方,dānfāng
行程,xíngchéng
大兴,dàxīng
生来,shēnglái
冬奥会,dōng'àohuì
不值,bùzhí
国民生产总值,guómín shēngchǎn zǒngzhí
牢牢,láoláo
明知,míngzhī
发作,fāzuò
次数,cìshù
刻苦,kèkǔ
涨幅,zhǎngfú
首府,shǒufǔ
私有,sīyǒu
走势,zǒushì
