definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
12828,3890,,,1,名词,〈口〉女孩子；也用作对女孩子的昵称
12829,3891,,,1,代词,〈文〉指处所或事物，表示疑问，相当于“哪里”、“什么”、“为什么”
12830,3892,,,1,形容词,某些地区指漂亮
12831,3893,,,1,形容词,妆饰艳丽
12832,3893,,,2,动词,妆饰；修饰
12833,3894,,,1,动词,用脚掌向外猛然用力
12834,3894,,,2,动词,踩；踏
12835,3895,,,1,名词,去毛后经过熟制的兽皮
12836,3895,,,2,名词,皮带；皮绳
12837,3896,,,1,形容词,高耸凸出
12838,3896,,,2,形容词,光秃
12839,3897,,,1,动词,〈口〉闲扯；聊天
12840,3897,,,2,动词,用言语戏弄；调笑
12841,3897,,,3,形容词,〈文〉理直气壮，从容不迫
12842,3898,,,1,动词,把东西放在液体、粉状物或糊状物里沾一下就拿出来
12843,3899,,,1,动词,用刀、斧等向下砍
12844,3900,,,1,动词,食物堵塞咽喉；噎
12845,3900,,,2,动词,因感情激动而声气阻塞
12846,3901,,,1,动词,烹调方法，把食物（多指肉类）用小火煮得烂熟
12847,3901,,,2,动词,把盛在容器里的东西连容器一起放在热水里，使变热
12848,3902,,,1,拟声词,模拟猫叫的声音
12849,3903,,,1,动词,慢步走；随便走走
12850,3903,,,2,动词,牵着牲畜或提着鸟笼慢步走
12851,3904,,,1,形容词,好；善
12852,3904,,,2,动词,褒扬；称赞
12853,3905,,,1,动词,蔓延燃烧
12854,3906,,,1,动词,靠近火而被烧焦
12855,3905,,,2,动词,烫
12856,3907,,,1,量词,用于叠在一起的纸张等较薄的东西
12857,3908,,,1,形容词,重复；繁多
12858,3909,,,1,动词,紧握
12859,3910,,,1,动词,指责；惩罚
12860,3910,,,2,动词,杀死
12861,3911,,,1,名词,非金属元素，符号F。浅黄绿色气体，味臭，有毒，腐蚀性极强，是非金属中最活泼的元素。是制造特种塑料、橡胶和冷冻剂的原料
12862,3912,,,1,动词,不经心地放；搁下
12863,3912,,,2,动词,扔掉；抛弃
12864,3912,,,3,动词,摔倒；弄倒
12865,3913,,,1,名词,非金属元素，符号：Se。导电能力随光照强度的增减而变化。可用于太阳能电池、整流器、摄像设备、光电管等
12866,3914,,,1,动词,应付；敷衍
12867,3914,,,2,动词,抵挡
12868,3914,,,3,动词,用泥或涂料涂抹（炉膛或金属坯胎）
12869,3915,,,1,名词,类似棒子的敲打用具。一般一头较粗或为球形
