rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4004,芎,xiōng,芎,xiōngqióng,名,川芎,
4005,阮,ruǎn,,,名,姓,
4005,阮,ruǎn,,,名,阮咸的简称,大 阮
4005,阮,ruǎn,,,名,阮咸的简称,中 阮
4006,镳,biāo,,,名,〈文〉马嚼子两头露出马嘴的部分,分道扬 镳
4006,镳,biāo,,,,○ 镖 现在一般写作“镖”,
4007,撸,lū,,,动,捋（luō）,撸 榆钱 儿
4007,撸,lū,,,动,捋（luō）,撸 起袖子
4007,撸,lū,,,动,撤去（职务）,他的小组长职务被 撸 了 。
4007,撸,lū,,,动,训斥,叫爷爷 撸 了一顿
4008,碣,jié,,,名,〈文〉 圆顶的石碑,断 碣 残碑
4008,碣,jié,,,名,〈文〉 圆顶的石碑,墓 碣
4009,轱,gū,轱辘,gūlu,,车轮,
4009,轱,gū,轱辘,gūlu,动,滚动,一块石头从山上 轱辘 下去了 。
4010,犄,jī,,,,见下。 犄角 犄角 犄角旮旯儿,
4011,腌,ā,腌臜,āza,形,肮脏；不干净,
4011,腌,ā,腌臜,āza,形,不顺心；不舒畅,
4011,腌,ā,腌臜,āza,动,使难堪,关键时他总 腌臜 我，让我下不来台 。
4011,腌,ā,腌臜,āza,,另见 yān,
4012,阑,lán,,,名,〈文〉 栅栏；栏杆 门 阑 | 凭 阑 ○ 将尽 岁 阑 | 更深夜 阑 ○ 擅自（出入） 阑 入 用法说明 “阑”字不能简化成“闌”,
4013,鳅,qiū,,,名,鱼，体长而侧扁，口小，鳞细小或退化，侧线不完全或消失。种类很多，常见的有花鳅、泥鳅,
4014,纶,guān,纶巾,guānjīn,名,古代男子戴的配有青丝带的头巾,羽扇 纶巾
4014,纶,guān,纶巾,guānjīn,,另见 lún,
4014,纶,lún,,,名,〈文〉青色的丝带,
4014,纶,lún,,,名,〈文〉钓鱼用的丝线,
4014,纶,lún,,,名,指某些合成纤维,丙 纶
4014,纶,lún,,,名,指某些合成纤维,锦 纶
4015,蹑,niè,,,动,〈文〉踩；登,蹑 足
4015,蹑,niè,,,动,〈文〉踩；登,蹑 上高位
4015,蹑,niè,,,动,〈文〉追随；追踪,蹑 踪
4015,蹑,niè,,,动,○ 放轻脚步，使不出声,蹑 着脚上楼
4015,蹑,niè,,,动,○ 放轻脚步，使不出声,蹑 手 蹑 脚
4016,氤,yīn,,,,形容烟云弥漫的样子,云烟 氤氲
4016,氤,yīnyūn,,,,形容烟云弥漫的样子,云烟 氤氲
4017,矶,jī,,,名,露出水面的大块岩石或石滩（多用于地名）,钓 矶 （钓鱼时坐的岩石）
4017,矶,jī,,,名,露出水面的大块岩石或石滩（多用于地名）,赤壁 矶 （在湖北） 。
4018,梵,fàn,,,名,有关古代印度的,梵 文
4018,梵,fàn,,,名,有关古代印度的,梵 历
4018,梵,fàn,,,名,有关佛教的（佛经原用梵文写成，所以凡与佛教有关的事物都称梵）,梵 宫
4018,梵,fàn,,,名,有关佛教的（佛经原用梵文写成，所以凡与佛教有关的事物都称梵）,梵 钟
4019,镉,gé,,,名,金属元素，符号 Cd。银白色，富延展性。用于制造光电管和核反应堆中的中子吸收棒等,
4020,滓,zǐ,,,名,沉淀的杂质,渣 滓
4020,滓,zǐ,,,名,沉淀的杂质,沉 滓
4021,垭,yā,,,名,两山之间的狭窄地带（多用于地名）,黄桷 垭 （在重庆）
4021,垭,yā,,,名,两山之间的狭窄地带（多用于地名）,马头 垭 （在湖北） 。
4022,枳,zhǐ,,,名,落叶灌木或小乔木，茎上有刺，果实小球形，味酸。未成熟和成熟的果实都可做药材，分别称枳实和枳壳,
4023,獗,jué,,,,见“ 猖（chāng）獗 ”,
4024,冕,miǎn,,,名,古代帝王、诸侯、卿、大夫举行朝仪或祭礼时所戴的礼帽；特指皇帝在某些隆重场合所戴的礼帽,
4025,渍,zì,,,动,浸泡；沤,汗水 渍 黄了内衣
4025,渍,zì,,,动,浸泡；沤,渍 麻
