definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
7504511,750451,1,见see【纱锭】,shādìng,
7504811,750481,1,same as纽扣,niǔkòu,
7505011,750501,1,(～儿,niǔkòur,
7505111,750511,1,(～儿,niǔpànr,
7507512,750751,2,〈书fml.〉同same as‘黻’(fú)。,,
7507811,750781,1,～儿,liàn∥shǒur,
7509711,750971,1,见see【君子协定】,jūnzǐ xiédìng,
7511711,751171,1,same as细挑,xì·tiɑo,
7512111,751211,1,(～儿,xìhuór,
7512211,751221,1,same as细腻,xìnì,
7513711,751371,1,见see【生物武器】,shēngwù wǔqì,
7515111,751511,1,same as终究,zhōngjiū,
7515711,751571,1,same as终日,zhōngrì,
7520511,752051,1,见see【痛经】,tòngjīng,
7522611,752261,1,～儿,bǎng∥piàor,
7523011,752301,1,(～儿,rónghuār,
7523711,752371,1,～儿,jié∥bànr,
7524411,752441,1,same as结,jié,
7525311,752531,1,见see【晶体】,jīngtǐ,
7527211,752721,1,(～儿,ràokǒulìngr,
7527811,752781,1,～儿,rào∥dàor,
7528411,752841,1,见see【绘影绘声】,huì yǐng huì shēng,
7528811,752881,1,same as给,gěi,
7531112,753111,2,same as绝境,juéjìng,
7532311,753231,1,same as绝后,jué∥hòu,
7532911,753291,1,(～儿,juéhuór,
7533311,753331,1,(～儿,juézhāor,
7534712,753471,2,(～儿,juéménr,
7534713,753471,3,(～儿,juéménr,
7534714,753471,4,(～儿,juéménr,
7536712,753671,2,同same as‘统率’,tǒngshuài,
7536911,753691,1,〈书fml.〉same as统辖,tǒngxiá,
7539211,753921,1,～儿,xiù∥huār,
7539411,753941,1,same as绣鞋,xiùxié,
7540311,754031,1,same as继配,jìpèi,
7543111,754311,1,同same as‘上鞋’,shàng∥xié,
7543311,754331,1,(～儿,gǔnbiānr,
7545611,754561,1,same as绵白糖,miánbáitáng,
7546711,754671,1,～儿,běng∥jìnr,
7547111,754711,1,(～儿,bèngcír,
7548011,754801,1,见see[缱绻](qiǎnquǎn)。,,
7549411,754941,1,same as绿头巾,lǜtóujīn,
7549711,754971,1,(～的,lǜyōuyōu·de,
7550011,755001,1,(～的,lǜshēngshēng·de,
7550611,755061,1,same as环境标志,huánjìng biāozhì,
7551011,755101,1,(～的,lǜrōngrōng·de,
7551111,755111,1,(～的,lǜyīngyīng·de,
7552711,755271,1,same as缆绳,lǎnshéng,
7553721,755372,1,"[缊](yīnyūn)
见see[氤氲]",yīnyūn,
7553811,755381,1,〈书fml.〉同same as‘绘’,huì,
7554311,755431,1,同same as‘线’,xiàn,
7559411,755941,1,same as编,biān,
7559811,755981,1,同same as‘编者按’,biānzhě'àn,
7565411,756541,1,见see【节衣缩食】,jié yī suō shí,
7567611,756761,1,(～儿,quēzuǐr,
7568111,756811,1,same as缺点,quēdiǎn,
7568112,756811,2,same as缺少,quēshǎo,
7568411,756841,1,(～儿,quēménr,
7570511,757051,1,(～儿,wǎngyǎnr,
7572211,757221,1,同same as‘唣’,luózào,
7572311,757231,1,(～儿,luóquānr,
7573611,757361,1,same as螺纹,luówén,
7573811,757381,1,same as罗盘,luópán,
7574111,757411,1,(～儿,luóguōr,
7574112,757411,2,(～儿,luóguōr,
7576711,757671,1,same as罢诉,bà∥sù,
7577211,757721,1,同same as‘挂’,guà,
7577311,757731,1,同same as‘诖误’,guàwù,
7577611,757761,1,同same as‘罘罳’(fúsī)。,,
7578111,757811,1,〈方dial.〉same as罩衣,zhàoyī,
7578911,757891,1,〈书fml.〉same as罪过,zuì·guo,
7579111,757911,1,〈书fml.〉same as罪过,zuì·guo,
7581811,758181,1,见see【罘罳】(fúsī)。éP,,
7583211,758321,1,(～儿,yángguānr,
7585311,758531,1,(～儿,měirénr,
7585511,758551,1,同same as‘美圆’,měiyuán,
7587911,758791,1,(～的,měizīzī·de,
7588111,758811,1,(～的,měiměi·de,
7588811,758881,1,same as美圆,měiyuán,
7590211,759021,1,(～的,xiūréndādā·de,
7591011,759101,1,(～的,xiūdādā·de,
7594211,759421,1,见see【北山羊】,běishānyáng,
7594311,759431,1,同same as‘膻’,shān,
7595912,759591,2,〈方dial.〉same as翅膀,chìbǎng,
7597311,759731,1,〈方dial.〉same as翘,qiáo,
7598311,759831,1,(～的,cuìshēngshēng·de,
7601511,760151,1,(～儿,fānběnr,
7602711,760271,1,(～儿,fān báiyǎnr,
7602811,760281,1,same as翻毛,fānmáo,
7603211,760321,1,see【反胃】,fǎnwèi,
7603711,760371,1,same as翻,fān,
7603714,760371,4,〈书fml.〉same as反复,fǎnfù,
7604411,760441,1,(～儿,fānlǐngr,
7606211,760621,1,(～儿,lǎobànr,
7610711,761071,1,见see【宋体字】,sòngtǐzì,
7612411,761241,1,(～儿,lǎoshìr,
7613311,761331,1,(～儿,lǎoshǒur,
7613911,761391,1,(～儿,lǎoběnr,
7616311,761631,1,(～儿,lǎobìngr,
7617011,761701,1,(～儿,lǎocūr,
7617311,761731,1,same as‘姥姥’,lǎo·lɑo,
7617911,761791,1,同same as‘老趼’,lǎojiǎn,
7618912,761891,2,(～儿,lǎohuàr,
7619911,761991,1,(～儿,lǎobèir,
7621411,762141,1,same as老年,lǎonián,
7621511,762151,1,(～儿,kǎofēnr,
7623012,762301,2,same as讲究,jiǎng·jiu,
7624611,762461,1,same as如今,rújīn,
7625211,762521,1,same as耍滑,shuǎhuá,
7625711,762571,1,same as耍赖,shuǎlài,
7626211,762621,1,(～儿,shuǎbǐgǎnr,
7627011,762701,1,〈书fml.〉同same as‘软’,ruǎn,
7627911,762791,1,〈书fml.〉同same as‘端’,duān,
7631011,763101,1,same as耢(lào)①。,,
7631211,763121,1,same as腮腺,sāixiàn,
7631711,763171,1,(～儿,ěrzhuìr,
7631811,763181,1,(～儿,ěrchuír,
7632011,763201,1,same as耳垢,ěrgòu,
7633011,763301,1,〈方dial.〉same as耳刮子,ěrguā·zi,
7635011,763501,1,same as鼓膜,gǔmó,
7636511,763651,1,same as鼓膜,gǔmó,
7640611,764061,1,见see[耵聍](dīngníng)。,,
7641211,764121,1,same as康平纳,kāngpíngnà,
7641411,764141,1,same as统一战线,tǒngyī zhànxiàn,
7642211,764221,1,同same as‘连属’,liánzhǔ,
7642511,764251,1,同same as‘连接’,liánjiē,
7642911,764291,1,同same as‘连绵’,liánmián,
7643111,764311,1,同same as‘连缀’,liánzhuì,
7643711,764371,1,同same as‘连贯’,liánguàn,
7645211,764521,1,见see【热核反应】,rèhé-fǎnyìng,
7646111,764611,1,"[补义〈zhuan>new sense]〈比喻fig.〉视线、注意力等集中于某处{focus on; (of view, attention, etc.) concentrate on sth. or some-where}:新闻报道～于一个共同的话题。{The news reports focus on a common topic.}",,
7647511,764751,1,见see【佶屈聱牙】,jíqū áoyá,
7651111,765111,1,(～儿,ròupiàor,
7652411,765241,1,same as肋骨,lèigǔ,
7653312,765331,2,(～儿,zhǒu·zir,
7653911,765391,1,(～儿,dùqír,
7654011,765401,1,同same as‘度量’,dùliàng,
7655711,765571,1,same as肠,cháng,
7656511,765651,1,同same as‘股份’,gǔfèn,
7656611,765661,1,same as股息,gǔxī,
7656811,765681,1,same as股,gǔ,
7658811,765881,1,见see【浮皮潦草】,fúpíliáocǎo,
7660611,766061,1,(～儿,féichángr,
7661111,766111,1,见see【摩肩接踵】,mó jiān jiē zhǒng,
7661211,766121,1,(～儿,jiānwōr,
7661811,766181,1,见see【腽肭】(wànà)。,,
7662611,766261,1,见see【肥育】,féiyù,
7665011,766501,1,same as肾,shèn,
7668011,766801,1,same as‘备不住’,bèi·bu zhù,
7670111,767011,1,(～儿,bèiyǐngr,
7670211,767021,1,(～儿,bèixīnr,
7670511,767051,1,same as‘悖晦’,bèi·hui,
7671111,767111,1,(～儿,bèiyǎnr,
7671911,767191,1,同same as‘悖谬’,bèimiù,
7672511,767251,1,(～儿,bèiyīnr,
7672911,767291,1,(～儿,bèimiànr,
7674911,767491,1,(～的,pànghūhū·de,
7675011,767501,1,(～的,pàngdūndūn·de,
7675311,767531,1,(～儿,zhēnr,
7677511,767751,1,同same as‘孢子’,bāozǐ,
7678711,767871,1,same as核桃,hé·tɑo,
7678911,767891,1,same as‘糊涂’,hú·tu,
7679011,767901,1,～儿,hú·qinr,
7679211,767921,1,同same as‘狐臭’,húchòu,
7679511,767951,1,同same as‘蝴蝶’,húdié,
7679911,767991,1,same as胡说,húshuō,
7680011,768001,1,same as蚕豆,cándòu,
7682311,768231,1,见see【膍胵】(píchī)。,,
7682711,768271,1,(～儿,jiāojuǎnr,
7683812,768381,2,〈方dial.〉same as人力车,rénlìchē,
7685811,768581,1,(～儿,xiōngpúr,
7688411,768841,1,same as‘芝麻’,zhī·ma,
7688811,768881,1,〈方dial.〉(～儿,cuìzǎor,
7689311,768931,1,same as脉搏,màibó,
7690411,769041,1,same as脊柱,jǐzhù,
7691211,769121,1,same as背,bèi,
7691911,769191,1,(～儿,zāngzìr,
7693011,769301,1,same as脑,nǎo,
7695511,769551,1,〈方dial.〉(～儿,jiǎojìnr,
7695611,769561,1,(～儿,jiǎoyìnr,
7696011,769601,1,(～儿,jiǎojiānr,
7696511,769651,1,same as脚趾,jiǎozhǐ,
7696911,769691,1,同same as‘脚跟’,jiǎogēn,
7698511,769851,1,见see【脚踩两只船】,jiǎo cǎi liǎng zhī chuán,
7699611,769961,1,同same as‘角门’,jiǎomén,
7699811,769981,1,见see【膨脝】,pénghēng,
7700312,770031,2,同same as‘修’,xiū,
7700411,770041,1,见see【尿脬】(suī·pāo)。2.〈量词classifier〉同same as‘泡’(pāo)。,,
7700412,770041,2,〈量词classifier〉同same as‘泡’(pāo)。,,
7704311,770431,1,same as脱位,tuō∥wèi,
7706011,770601,1,same as脸盘儿,liǎnpánr,
7706711,770671,1,same as脸,liǎn,
7707411,770741,1,(～儿,Làbār,
7708011,770801,1,(～儿,làchángr,
7708411,770841,1,见see【侧芽】,cèyá,
7708511,770851,1,same as腌,yān,
7708813,770881,3,same as腐烂,fǔlàn,
7710911,771091,1,same as腥,xīng,
7711511,771151,1,见see【牛腩】,niúnǎn,
7713111,771311,1,(～儿,yāohuār,
7713711,771371,1,[腷臆](bìyì)同same as‘愊忆’(bìyì)。,,
7715311,771531,1,〈方dial.〉same as腻烦,nì·fɑn,
7715411,771541,1,same as‘泥子’(nì·zi)。,,
7715511,771551,1,〈方dial.〉same as腻烦,nì·fan,
7715711,771571,1,见下。see below,,
7715911,771591,1,见see【海狗】,hǎigǒu,
7717211,771721,1,(～儿,tuǐdàir,
7717912,771791,2,〈方dial.〉same as膀子,bǎng·zi,
7719011,771901,1,见see【病入膏肓】,bìng rù gāo huāng,
7720111,772011,1,见see【髌骨】,bìngǔ,
7721011,772101,1,见see【囊膪】(nāngchuài)。,,
7722711,772271,1,〈书fml.〉same as臆测,yìcè,
7723611,772361,1,同same as‘鼓胀’,gǔzhàng,
7723911,772391,1,见see[腌臜](ā·zā)。,,
7724011,772401,1,〈书fml.〉同same as‘癯’,qú,
7726511,772651,1,same as自动柜员机,zìdòng guìyuánjī,
7727611,772761,1,同same as‘自序’,zìxù,
7738212,773821,2,same as自动,zìdòng,
7741011,774101,1,同same as‘臲’(nièwù)。,,
