hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12803,雪地,10391,13388,xuě dì,1,
12804,治沙,10392,13389,zhì shā,1,
12805,王后,10393,13390,wáng hòu,1,
12806,集贸市场,10394,13391,jí mào shì chǎng,1,
12807,马兰,10395,13392,mǎ lán,1,
12808,信访,10396,13393,xìn fǎng,1,
12809,约会,10397,13394,yuē huì,1,
12810,匮乏,10398,13395,kuì fá,1,
12811,家当,10399,13396,jiā dàng,1,
12812,大嫂,10400,13397,dà sǎo,1,
12813,喜人,10401,13398,xǐ rén,1,
12814,保险费,10402,13399,bǎo xiǎn fèi,1,
12815,执业,10403,13400,zhí yè,1,
12816,方方面面,10405,13401,fāng fāng miàn miàn,1,
12817,通风,10406,13402,tōng fēng,1,
12818,打捞,10407,13403,dǎ lāo,1,
12819,鞋子,10408,13404,xié zi,1,
12820,庄园,10409,13405,zhuāng yuán,1,
12821,类别,10410,13406,lèi bié,1,
12822,展品,10411,13407,zhǎn pǐn,1,
12823,想必,10412,13408,xiǎng bì,1,
12824,单人,10413,13409,dān rén,1,
12825,专款,10414,13410,zhuān kuǎn,1,
12826,大笔,10416,13411,dà bǐ,1,
12827,的姐,10417,13412,dī jiě,1,
12828,新奇,10418,13413,xīn qí,1,
12829,新式,10419,13414,xīn shì,1,
12830,劣势,10421,13415,liè shì,1,
12831,庄重,10422,13416,zhuāng zhòng,1,
12832,门子,10423,13417,mén zi,1,
12833,教士,10424,13418,jiào shì,1,
12834,有礼,10425,13419,yǒu lǐ,1,
12835,呕吐,10426,13420,ǒu tù,1,
12836,过失,10427,13421,guò shī,1,
12837,留念,10429,13422,liú niàn,1,
12838,举例,10430,13423,jǔ lì,1,
12839,响声,10431,13424,xiǎng shēng,1,
12840,轨迹,10432,13425,guǐ jì,1,
12841,胖子,10433,13426,pàng zi,1,
12842,京华,10434,13427,jīng huá,1,
12843,恪守,10436,13428,kè shǒu,1,
12844,甘草,10437,13429,gān cǎo,1,
12845,外形,10439,13430,wài xíng,1,
12846,生猪,10440,13431,shēng zhū,1,
12847,跃进,10441,13432,yuè jìn,1,
12848,多头,10442,13433,duō tóu,1,
12849,北欧,10443,13434,běi ōu,1,
12850,工商业,10447,13435,gōng shāng yè,1,
12851,轻视,10448,13436,qīng shì,1,
12852,西医,10449,13437,xī yī,1,
12853,终端,10450,13438,zhōng duān,1,
12854,估价,10451,13439,gū jià,1,
12855,女神,10453,13440,nǚ shén,1,
12856,上书,10454,13441,shàng shū,1,
12857,单元,10455,13442,dān yuán,1,
12858,心病,10456,13443,xīn bìng,1,
12859,录用,10460,13444,lù yòng,1,
12860,党代表,10461,13445,dǎng dài biǎo,1,
12861,偶像,10462,13446,ǒu xiàng,1,
12862,内企,10463,13447,nèi qǐ,1,
12863,正月,10464,13448,zhēng yuè,1,
12864,起爆,10465,13449,qǐ bào,1,
12865,专注,10466,13450,zhuān zhù,1,
12866,判刑,10467,13451,pàn xíng,1,
12867,烟花,10468,13452,yān huā,1,
