pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
84171,对联,duì lián,6,5932,1
205121,物理学,wù lǐ xué,,5933,1
200247,兴致勃勃,xìng zhì bó bó,6,5934,1
91411,美满,měi mǎn,6,5935,1
98081,狭隘,xiá ài,6,5936,1
204361,斥卤,chì lǔ,,5937,1
96411,讨价还价,tǎo jià huán jià,6,5942,1
201741,芙蓉,fú róng,,5943,1
85841,更正,gēng zhèng,6,5944,1
98331,相辅相成,xiāng fǔ xiāng chéng,6,5946,1
200215,齐心协力,qí xīn xié lì,6,5947,1
86621,过问,guò wèn,6,5948,1
91151,略微,lüè wēi,6,5949,1
99281,循序渐进,xún xù jiàn jìn,6,5950,1
82131,诚挚,chéng zhì,6,5951,1
96501,体谅,tǐ liàng,6,5953,1
88101,家喻户晓,jiā yù hù xiǎo,6,5954,1
87161,花瓣,huā bàn,6,5955,1
90491,理直气壮,lǐ zhí qì zhuàng,6,5956,1
85581,高超,gāo chāo,6,5959,1
89701,慷慨,kāng kǎi,6,5960,1
200145,凹凸,āo tū,6,5961,1
83801,丢人,diū rén,6,5962,1
205301,下级,xià jí,,5963,1
96001,肆无忌惮,sì wú jì dàn,6,5964,1
83771,叮嘱,dīng zhǔ,6,5966,1
95471,事态,shì tài,6,5967,1
82291,充沛,chōng pèi,6,5968,1
84951,坟墓,fén mù,6,5969,1
102871,转达,zhuǎn dá,6,5970,1
204271,肥大,féi dà,,5972,1
92971,凄凉,qī liáng,6,5973,1
85261,腐烂,fǔ làn,6,5974,1
95721,疏忽,shū hu,6,5977,1
99931,一目了然,yī mù liǎo rán,6,5978,1
94031,确信,què xìn,6,5980,1
96051,苏醒,sū xǐng,6,5983,1
204191,案子,àn zi,,5987,1
89431,咀嚼,jǔ jué,6,5988,1
94341,容貌,róng mào,6,5989,1
102741,注释,zhù shì,6,5990,1
91701,敏捷,mǐn jié,6,5991,1
93791,丘陵,qiū líng,6,5994,1
95621,手艺,shǒu yì,6,5995,1
201901,骨骼,gǔ gé,,5996,1
91591,勉励,miǎn lì,6,5998,1
98351,镶嵌,xiāng qiàn,6,5999,1
90041,口音,kǒu yīn,6,6003,1
90042,口音,kǒu yin,6,6003,2
92621,漂浮,piāo fú,6,6004,1
91211,埋伏,mái fú,6,6005,1
83211,诞辰,dàn chén,6,6006,1
95381,世代,shì dài,6,6007,1
83181,淡季,dàn jì,6,6008,1
95031,声势,shēng shì,6,6010,1
92611,飘扬,piāo yáng,6,6013,1
80811,濒临,bīn lín,6,6016,1
81681,猖狂,chāng kuáng,6,6017,1
101711,镇定,zhèn dìng,6,6020,1
200190,恍然大悟,huǎng rán dà wù,6,6021,1
99721,遥控,yáo kòng,6,6025,1
202261,风筝,fēng zheng,,6026,1
200188,候选,hòu xuǎn,6,6033,1
93101,启程,qǐ chéng,6,6035,1
93541,钦佩,qīn pèi,6,6037,1
87251,话筒,huà tǒng,6,6038,1
94791,呻吟,shēn yín,6,6039,1
96971,团圆,tuán yuán,6,6040,1
86001,宫殿,gōng diàn,6,6042,1
97931,熄灭,xī miè,6,6043,1
81911,沉闷,chén mèn,6,6044,1
81641,缠绕,chán rào,6,6045,1
200217,恰到好处,qià dào hǎo chù,6,6046,1
88191,坚韧,jiān rèn,6,6049,1
80991,补救,bǔ jiù,6,6050,1
93581,轻而易举,qīng ér yì jǔ,6,6052,1
80661,辩解,biàn jiě,6,6053,1
200182,归根到底,guī gēn dào dǐ,6,6055,1
99301,寻觅,xún mì,6,6056,1
87331,荒谬,huāng miù,6,6057,1
88871,戒备,jiè bèi,6,6063,1
97351,微不足道,wēi bù zú dào,6,6064,1
101791,争气,zhēng qì,6,6065,1
206025,朦胧,méng lóng,,6068,1
92331,盘旋,pán xuán,6,6072,1
93401,潜水,qián shuǐ,6,6073,1
84001,独裁,dú cái,6,6074,1
93241,气压,qì yā,6,6075,1
200252,优胜劣汰,yōu shèng liè tài,6,6082,1
87711,机智,jī zhì,6,6083,1
87881,急躁,jí zào,6,6084,1
82081,成天,chéng tiān,6,6086,1
97071,妥当,tuǒ dang,6,6089,1
