hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
55569,温饱,5569,9196,wēn bǎo,1
55570,实情,5570,9197,shí qíng,1
55571,力求,5571,9198,lì qiú,1
55573,法郎,5573,9199,fǎ láng,1
55574,携手,5574,9200,xié shǒu,1
55575,优点,5575,9201,yōu diǎn,1
55576,反击,5576,9202,fǎn jī,1
55577,此人,5577,9203,cǐ rén,1
55578,厕所,5578,9204,cè suǒ,1
55579,冶金,5579,9205,yě jīn,1
55580,言语,5580,9206,yán yu,1
55580,言语,5580,9207,yán yǔ,2
55582,出具,5582,9208,chū jù,1
55583,犯人,5583,9209,fàn rén,1
55584,灰色,5584,9210,huī sè,1
55585,削弱,5585,9211,xuē ruò,1
55586,车子,5586,9212,chē zi,1
55587,在乎,5587,9213,zài hu,1
55588,座位,5588,9214,zuò wèi,1
55589,用途,5589,9215,yòng tú,1
55590,自然科学,5590,9216,zì rán kē xué,1
55591,酱油,5591,9217,jiàng yóu,1
55592,先锋,5592,9218,xiān fēng,1
55594,水量,5594,9219,shuǐ liàng,1
55595,剥夺,5595,9220,bō duó,1
55596,共青团,5596,9221,gòng qīng tuán,1
55597,月亮,5597,9222,yuè liang,1
55598,关切,5598,9223,guān qiè,1
55599,负债,5599,9224,fù zhài,1
55600,聚会,5600,9225,jù huì,1
55601,牌子,5601,9226,pái zi,1
55602,国事,5602,9227,guó shì,1
55603,一如,5603,9228,yī rú,1
55604,抛弃,5604,9229,pāo qì,1
55605,灌溉,5605,9230,guàn gài,1
55606,半夜,5606,9231,bàn yè,1
55607,发觉,5607,9232,fā jué,1
55608,展望,5608,9233,zhǎn wàng,1
55609,引用,5609,9234,yǐn yòng,1
55610,纪实,5610,9235,jì shí,1
55611,假设,5611,9236,jiǎ shè,1
55612,明明,5612,9237,míng míng,1
55613,海里,5613,9238,hǎi lǐ,1
55614,分流,5614,9239,fēn liú,1
55615,助手,5615,9240,zhù shǒu,1
55616,大雨,5616,9241,dà yǔ,1
55617,蛋白质,5617,9242,dàn bái zhì,1
55618,文人,5618,9243,wén rén,1
55619,宏观经济,5619,9244,hóng guān jīng jì,1
55620,特使,5620,9245,tè shǐ,1
55621,参议院,5621,9246,cān yì yuàn,1
55622,过年,5622,9247,guò nián,1
55623,爱人,5623,9248,ài ren,1
