hsk_sn,cihui,pinyin,hsk_level
691,肚子,dù zi,4
692,断,duàn,4
693,对,duì,4
694,对,duì,4
695,对话,duì huà,4
696,对面,duì miàn,4
697,顿,dùn,4
698,朵,duǒ,4
699,而,ér,4
700,儿童,ér tóng,4
701,发,fā,4
702,发生,fā shēng,4
703,发展,fā zhǎn,4
704,法律,fǎ lǜ,4
705,翻译,fān yì,4
706,烦恼,fán nǎo,4
707,反对,fǎn duì,4
708,反映,fǎn yìng,4
709,范围,fàn wéi,4
710,方法,fāng fǎ,4
711,方面,fāng miàn,4
712,方向,fāng xiàng,4
713,访问,fǎng wèn,4
714,放弃,fàng qì,4
715,放暑假,fàng shǔ jià,4
716,分之,fēn zhī,4
717,份,fèn,4
718,风景,fēng jǐng,4
719,丰富,fēng fù,4
720,否则,fǒu zé,4
721,符合,fú hé,4
722,富,fù,4
723,负责,fù zé,4
724,复印,fù yìn,4
725,复杂,fù zá,4
726,父亲,fù qīn,4
727,改变,gǎi biàn,4
728,干杯,gān bēi,4
729,干燥,gān zào,4
730,感动,gǎn dòng,4
731,感觉,gǎn jué,4
732,感情,gǎn qíng,4
733,感谢,gǎn xiè,4
734,干,gàn,4
735,刚刚,gāng gang,4
736,高级,gāo jí,4
737,个子,gè zi,4
738,各,gè,4
739,公里,gōng lǐ,4
740,工具,gōng jù,4
741,工资,gōng zī,4
742,共同,gòng tóng,4
743,够,gòu,4
744,购物,gòu wù,4
745,孤单,gū dān,4
746,估计,gū jì,4
747,鼓励,gǔ lì,4
748,鼓掌,gǔ zhǎng,4
749,顾客,gù kè,4
750,故意,gù yì,4
751,挂,guà,4
752,关键,guān jiàn,4
753,观众,guān zhòng,4
754,管理,guǎn lǐ,4
755,光,guāng,4
756,广播,guǎng bō,4
757,广告,guǎng gào,4
758,逛,guàng,4
759,规定,guī dìng,4
760,国际,guó jì,4
761,果然,guǒ rán,4
762,过,guò,4
763,过,guò,4
764,过程,guò chéng,4
765,海洋,hǎi yáng,4
766,害羞,hài xiū,4
767,寒假,hán jià,4
768,汗,hàn,4
769,航班,háng bān,4
770,好处,hǎo chu,4
771,好像,hǎo xiàng,4
772,号码,hào mǎ,4
773,合格,hé gé,4
774,合适,hé shì,4
775,盒子,hé zi,4
776,猴子,hóu zi,4
777,厚,hòu,4
778,后悔,hòu huǐ,4
779,后来,hòu lái,4
780,忽然,hū rán,4
781,互相,hù xiāng,4
782,护士,hù shi,4
783,怀疑,huái yí,4
784,回忆,huí yì,4
785,活动,huó dòng,4
786,活泼,huó po,4
787,火,huǒ,4
788,获得,huò dé,4
789,基础,jī chǔ,4
790,激动,jī dòng,4
791,积极,jī jí,4
792,积累,jī lěi,4
793,极其,jí qí,4
794,即使,jí shǐ,4
795,及时,jí shí,4
796,集合,jí hé,4
797,寄,jì,4
798,继续,jì xù,4
799,记者,jì zhě,4
800,计划,jì huà,4
801,技术,jì shù,4
802,既然,jì rán,4
803,家具,jiā jù,4
804,加班,jiā bān,4
805,加油站,jiā yóu zhàn,4
806,假,jiǎ,4
807,价格,jià gé,4
808,坚持,jiān chí,4
809,减肥,jiǎn féi,4
810,减少,jiǎn shǎo,4
811,将来,jiāng lái,4
812,奖金,jiǎng jīn,4
813,降低,jiàng dī,4
814,交,jiāo,4
815,交流,jiāo liú,4
816,交通,jiāo tōng,4
817,骄傲,jiāo ào,4
818,饺子,jiǎo zi,4
819,教授,jiào shòu,4
820,教育,jiào yù,4
821,接受,jiē shòu,4
822,节约,jié yuē,4
823,结果,jié guǒ,4
824,解释,jiě shì,4
825,紧张,jǐn zhāng,4
826,尽管,jǐn guǎn,4
827,进行,jìn xíng,4
828,禁止,jìn zhǐ,4
829,精彩,jīng cǎi,4
830,精神,jīng shén,4
831,经济,jīng jì,4
832,经历,jīng lì,4
833,经验,jīng yàn,4
834,京剧,Jīng jù,4
835,警察,jǐng chá,4
836,竟然,jìng rán,4
837,竞争,jìng zhēng,4
838,镜子,jìng zi,4
839,究竟,jiū jìng,4
840,举办,jǔ bàn,4
841,拒绝,jù jué,4
842,距离,jù lí,4
843,开玩笑,kāi wán xiào,4
844,看法,kàn fǎ,4
845,考虑,kǎo lǜ,4
846,棵,kē,4
847,科学,kē xué,4
848,咳嗽,ké sou,4
849,可怜,kě lián,4
850,可是,kě shì,4
851,可惜,kě xī,4
852,肯定,kěn dìng,4
853,空气,kōng qì,4
854,恐怕,kǒng pà,4
855,苦,kǔ,4
856,宽,kuān,4
857,困,kùn,4
858,困难,kùn nan,4
859,扩大,kuò dà,4
860,拉,lā,4
861,垃圾桶,lā jī tǒng,4
862,辣,là,4
863,来不及,lái bu jí,4
864,来得及,lái de jí,4
865,懒,lǎn,4
866,浪费,làng fèi,4
867,浪漫,làng màn,4
868,老虎,lǎo hǔ,4
869,冷静,lěng jìng,4
870,礼貌,lǐ mào,4
871,理发,lǐ fà,4
872,理解,lǐ jiě,4
873,理想,lǐ xiǎng,4
874,厉害,lì hai,4
875,力气,lì qi,4
876,例如,lì rú,4
877,俩,liǎ,4
878,连,lián,4
879,联系,lián xì,4
880,凉快,liáng kuai,4
881,亮,liàng,4
882,聊天,liáo tiān,4
883,另外,lìng wài,4
884,留,liú,4
885,留学,liú xué,4
886,流泪,liú lèi,4
887,流利,liú lì,4
888,流行,liú xíng,4
889,乱,luàn,4
890,律师,lǜ shī,4
891,麻烦,má fan,4
892,马虎,mǎ hu,4
893,满,mǎn,4
894,毛巾,máo jīn,4
895,美丽,měi lì,4
896,梦,mèng,4
897,密码,mì mǎ,4
898,免费,miǎn fèi,4
899,民族,mín zú,4
900,母亲,mǔ qīn,4
901,目的,mù dì,4
902,耐心,nài xīn,4
903,难道,nán dào,4
904,难受,nán shòu,4
905,内,nèi,4
906,内容,nèi róng,4
907,能力,néng lì,4
908,年龄,nián líng,4
909,农村,nóng cūn,4
910,弄,nòng,4
911,暖和,nuǎn huo,4
912,偶尔,ǒu ěr,4
913,排列,pái liè,4
914,判断,pàn duàn,4
915,陪,péi,4
916,批评,pī píng,4
917,皮肤,pí fū,4
918,脾气,pí qi,4
919,篇,piān,4
920,骗,piàn,4
921,乒乓球,pīng pāng qiú,4
922,平时,píng shí,4
923,瓶子,píng zi,4
924,破,pò,4
925,普遍,pǔ biàn,4
926,其次,qí cì,4
927,其中,qí zhōng,4
928,起飞,qǐ fēi,4
929,起来,qi lai,4
930,气候,qì hòu,4
931,千万,qiān wàn,4
932,签证,qiān zhèng,4
933,墙,qiáng,4
934,敲,qiāo,4
935,桥,qiáo,4
936,巧克力,qiǎo kè lì,4
937,亲戚,qīn qi,4
938,轻,qīng,4
939,轻松,qīng sōng,4
940,情况,qíng kuàng,4
941,请假,qǐng jià,4
942,请客,qǐng kè,4
943,穷,qióng,4
944,区别,qū bié,4
945,取,qǔ,4
946,全部,quán bù,4
947,缺点,quē diǎn,4
948,缺少,quē shǎo,4
949,却,què,4
950,确实,què shí,4
951,群,qún,4
952,然而,rán ér,4
953,热闹,rè nao,4
954,人民币,rén mín bì,4
955,任何,rèn hé,4
956,任务,rèn wu,4
957,扔,rēng,4
958,仍然,réng rán,4
959,日记,rì jì,4
960,入口,rù kǒu,4
961,软,ruǎn,4
962,散步,sàn bù,4
963,森林,sēn lín,4
964,沙发,shā fā,4
965,商量,shāng liang,4
966,伤心,shāng xīn,4
967,稍微,shāo wēi,4
968,社会,shè huì,4
969,深,shēn,4
970,申请,shēn qǐng,4
971,甚至,shèn zhì,4
972,生活,shēng huó,4
973,生命,shēng mìng,4
974,省,shěng,4
975,剩,shèng,4
976,失败,shī bài,4
977,失望,shī wàng,4
978,师傅,shī fu,4
979,湿润,shī rùn,4
980,狮子,shī zi,4
981,十分,shí fēn,4
982,实际,shí jì,4
983,实在,shí zài,4
984,食品,shí pǐn,4
985,使用,shǐ yòng,4
986,试,shì,4
987,市场,shì chǎng,4
988,世纪,shì jì,4
989,适合,shì hé,4
990,适应,shì yìng,4
991,收,shōu,4
992,收入,shōu rù,4
993,收拾,shōu shi,4
994,首都,shǒu dū,4
995,首先,shǒu xiān,4
996,受不了,shòu bù liǎo,4
997,受到,shòu dào,4
998,售货员,shòu huò yuán,4
999,输,shū,4
1000,熟悉,shú xī,4
1001,数量,shù liàng,4
1002,数字,shù zì,4
1003,帅,shuài,4
1004,顺便,shùn biàn,4
1005,顺利,shùn lì,4
1006,顺序,shùn xù,4
1007,说明,shuō míng,4
1008,硕士,shuò shì,4
1009,死,sǐ,4
1010,速度,sù dù,4
1011,塑料袋,sù liào dài,4
1012,酸,suān,4
1013,算,suàn,4
1014,随便,suí biàn,4
1015,随着,suí zhe,4
1016,孙子,sūn zi,4
1017,所有,suǒ yǒu,4
1018,抬,tái,4
1019,台,tái,4
1020,态度,tài du,4
1021,谈,tán,4
1022,弹,tán,4
1023,汤,tāng,4
1024,躺,tǎng,4
1025,趟,tàng,4
1026,讨论,tǎo lùn,4
1027,讨厌,tǎo yàn,4
1028,特点,tè diǎn,4
1029,提供,tí gōng,4
1030,提前,tí qián,4
1031,提醒,tí xǐng,4
1032,填空,tián kòng,4
1033,条件,tiáo jiàn,4
1034,停止,tíng zhǐ,4
1035,挺,tǐng,4
1036,通过,tōng guò,4
1037,通知,tōng zhī,4
1038,同情,tóng qíng,4
1039,推,tuī,4
1040,推迟,tuī chí,4
1041,脱,tuō,4
1042,袜子,wà zi,4
1043,完全,wán quán,4
1044,往,wǎng,4
1045,往往,wǎng wǎng,4
1046,网球,wǎng qiú,4
1047,网站,wǎng zhàn,4
1048,危险,wēi xiǎn,4
1049,味道,wèi dao,4
1050,温度,wēn dù,4
1051,文章,wén zhāng,4
1052,握手,wò shǒu,4
1053,污染,wū rǎn,4
1054,无,wú,4
1055,无聊,wú liáo,4
1056,无论,wú lùn,4
1057,误会,wù huì,4
1058,西红柿,xī hóng shì,4
1059,吸引,xī yǐn,4
1060,洗衣机,xǐ yī jī,4
1061,咸,xián,4
1062,现代,xiàn dài,4
1063,羡慕,xiàn mù,4
1064,限制,xiàn zhì,4
1065,香,xiāng,4
1066,相反,xiāng fǎn,4
1067,详细,xiáng xì,4
1068,响,xiǎng,4
1069,消息,xiāo xi,4
1070,小说,xiǎo shuō,4
1071,笑话,xiào huà,4
1072,效果,xiào guǒ,4
1073,心情,xīn qíng,4
1074,辛苦,xīn kǔ,4
1075,信任,xìn rèn,4
1076,信心,xìn xīn,4
1077,信用卡,xìn yòng kǎ,4
1078,兴奋,xīng fèn,4
1079,行,xíng,4
