definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
1511,151,1,见see【自个ㄦ】,zìgěr,
1521,152,1,〈量词classifier〉用于没有专用量词的名词(有些名词除了用专用量词之外也能用‘个’),[used before nouns without a special classifier of their own (some nouns can also use this instead of using their special classifier)],
1522,152,2,单独的,individual,
1523,152,3,量词‘些’的后缀,[used as a suffix after classifier些xiē],
1524,152,4,"〈方dial.〉加在‘昨ㄦ、今ㄦ、明ㄦ’等时间词后面,跟‘某日里’的意思相近。","[used after 昨ㄦzuór,今ㄦjīnr,明ㄦmíngr, etc., similar in meaning to ‘on a certain day’]",
1611,161,1,跟四周的距离相等;中心,centre; middle,
1612,161,2,(Zhōng)指中国,China,
1613,161,3,范围内;内部,in; among; amid; amidst,
1614,161,4,位置在两端之间的,middle; mid,
1615,161,5,等级在两端之间的,medium; intermediate,
1616,161,6,不偏不倚,impartial; even-handed; neutral,
1617,161,7,中人,go-between; mediator; middleman,
1618,161,8,适于;合于,suitable for; fit for; good for; equal to,
1619,161,9,〈方dial.〉成;行;好,all right; okay; OK; fine; good,
1620,161,10,用在动词后表示持续状态(动词前有‘在’字),"[with 在 zài before the verb, used after a verb to indicate continuity] in the course of; in the process of",
1621,162,1,正对上;恰好合上,fit exactly; hit,
1622,162,2,受到;遭受,be affected by; be hit by; undergo; suffer,
1711,171,1,地球;地壳,earth; earth's crust,
1712,171,2,陆地,land,
1713,171,3,土地;田地,land; field,
1714,171,4,same as地面,dìmiàn,
1715,171,5,same as地区,dìqū,
1716,171,6,same as地区,dìqū,
1717,171,7,same as地方(dìfāng)①军～两用人才。,personnel qualified for both military and civil services,
1718,171,8,same as地方(dì·fɑng)①无～自容。,extremely embarrassed or ashamed,
1719,171,9,地点,location,
1720,171,10,地位,position,
1721,171,11,地步,situation,
1722,171,12,(～ㄦ,dìr,
1723,171,13,路程(用于里数、站数后),[used with distance or station] distance,
1721,172,1,〈助词aux.〉表示它前边的词或词组是状语,[used after an adjective or phrase to form an adverbial adjunct before the verb],
1811,181,1,〈书fml.〉帮助;卫护,help; defend; protect,
1812,181,2,〈介词prep.〉表示行为的对象;替,in the interest of; for,
1813,181,3,〈介词prep.〉表示目的,for the purpose of; for the sake of,
1814,181,4,对;向,to,
1815,181,5,因为,because,
1821,182,1,做;作为,do; act,
1822,182,2,充当,act as; serve as,
1823,182,3,变成;成,turn; become,
1824,182,4,是,be; mean,
1825,182,5,〈介词prep.〉被(跟‘所’字合用),[used with 所suǒ in passive voice],
1826,182,6,"〈书fml.〉〈助词aux.〉常跟‘何’相应,表示疑问",[oft. used with 何hé in a rhetorical question],
1827,182,7,"附于某些单音形容词后,构成表示程度、范围的副词",[used after a monosyllabic adjective to form an adverb to indicate degree or scope],
1828,182,8,"附于某些表示程度的单音副词后,加强语气",[used after a monosyllabic adverb for emphasis],
1911,191,1,称自己和对方以外的某个人。,[third person singular and male] he; him,
1912,191,2,虚指(用在动词和数量词之间),[serve as a form word between a verb and a quantifier],
1913,191,3,指别一方面或其他地方,something else; somewhere else,
1914,191,4,另外的;其他的,another; other,
2011,201,1,生育,beget; give birth to; bear,
2012,201,2,生长,grow,
2013,201,3,生存;活(跟‘死’相对as opposed to‘death’}),existence; life; live,
2014,201,4,生计,life; livelihood,
2015,201,5,生命,life,
2016,201,6,生平,life; all one's life,
2017,201,7,具有生命力的;活的,living; alive,
2018,201,8,产生;发生,cause; give rise to,
2019,201,9,使柴、煤等燃烧,burn coal or firewood,
2020,201,10,(Shēng)姓。,a surname,
2021,201,11,"果实没有成熟(跟‘熟’相对,下②③④同as opposed to‘ripe’, same for ②③④ below})",unripe; green,
2022,201,12,(食物)没有煮过或煮得不够的,(of food) uncooked or undercooked; raw,
2023,201,13,没有进一步加工或炼过的,unprocessed; unrefined; raw; crude,
2024,201,14,生疏,unfamiliar,
2025,201,15,生硬;勉强,stiff; mechanical; rigid; unnatural,
2026,201,16,很(用在少数表示感情、感觉的词的前面),[used before a few words indicating feeling or perception] very; much,
2027,201,17,学习的人;学生,pupil; student,
2028,201,18,〈旧时old〉称读书人,intellectual; scholar,
2029,201,19,"戏曲角色行当,扮演男子,有老生、小生、武生等区别。","sheng, male role in traditional Chinese operas, including laosheng (role of an old or middle-aged man), xiaosheng (role of a young man), and wusheng (role of a warrior)",
2030,201,20,某些指人的名词后缀,[used as a suffix for certain nouns indicating occupations],
2031,201,21,"某些副词的后缀,如‘好生、怎生’等。","[used as a suffix for certain adverbs, such as 好生hǎoshēng and 怎生zěnshēng] so; what",
2111,211,1,求,demand; ask,
2112,211,2,强迫;威胁,force; coerce,
2113,211,3,同same as‘邀’,yāo,
2114,211,4,(Yāo)姓。,a surname,
2121,212,1,重要,important; essential,
2122,212,2,重要的内容,main points; essentials,
2123,212,3,希望得到;希望保持,want; wish to keep; desire,
2124,212,4,因为希望得到或收回而有所表示;索取,demand; claim,
2125,212,5,请求,ask for,
2126,212,6,表示做某件事的意志,want to; wish to,
2127,212,7,须要;应该,"must; should; it is necessary (or imperative, essential)",
2128,212,8,需要,need; take,
2129,212,9,将要,will; be going to,
2130,212,10,"表示估计,用于比较",[used in comparisons to indicate an estimate],
2131,212,11,如果,if; suppose; in case,
2132,212,12,要么,or; either ... or ...,
2211,221,1,"用在代词或指人的名词后面,表示复数",[used after a pronoun or a noun referring to a person to form a plural],
2311,231,1,用;拿,with; by means of,
2312,231,2,依;按照,according to,
2313,231,3,因,because of,
2314,231,4,表示目的,in order to; so as to,
2315,231,5,〈书fml.〉于;在(时间),at; on; in,
2316,231,6,〈书fml.〉〈连词conj.〉跟‘而’相同,same as 而ér,
2317,231,7,"用在单纯的方位词前,组成合成的方位词或方位结构,表示时间、方位、数量的界限","[used before certain nouns of locality to form compound nouns of locality to indicate the limits of time, position and quantity]",
2411,241,1,达于某一点;到达;达到,get to a place; arrive; reach,
2412,241,2,往,go to; leave for,
2413,241,3,"用做动词的补语,表示动作有结果",[as the complement of a verb indicating the result of an action],
2414,241,4,周到,considerate; thoughtful; thorough,
2415,241,5,(Dào)姓。,a surname,
2511,251,1,国家,country; state; nation,
2512,251,2,代表或象征国家的,of the state; national; standing for or symbolic of a country,
2513,251,3,在一国内最好的,among the best within a country,
2514,251,4,"指本国的,特指我国的","of one's own country, esp. Chinese",
2515,251,5,(Guó)姓。,a surname,
2611,261,1,指比较长的一段时间,time; times; days,
2612,261,2,规定的时候,fixed time,
2613,261,3,季节,season,
2614,261,4,当前;现在,present; current,
2615,261,5,时俗;时尚,fashion,
2616,261,6,计时的单位。,time unit,
2617,261,7,时机,chance; opportunity; opportune moment,
2618,261,8,时常,occasionally; now and then; from time to time,
2619,261,9,"叠用,跟‘时而…时而…’相同;有时候",[used in pairs] same as ‘now ... now ...’ or ‘sometimes ... sometimes’,
2620,261,10,"一种语法范畴, 表示动词所指动作在什么时候发生。很多语言的动词分现在时、过去时和将来时,有些语言分得更细。","(gram.) tense; grammatical category indicating the time of the action expressed by the verb; verbs in many languages are divided into the present, past or future tenses, while in others, there are even more tenses",
2621,261,11,(Shí)姓。,a surname,
2711,271,1,凑近;靠近,come near; move towards,
2712,271,2,到;开始从事,undertake; engage in; enter upon,
2713,271,3,被;受,suffer; be subjected to,
2714,271,4,完成;确定,accomplish; make,
2715,271,5,趁着(当前的便利),take advantage of; accommodate oneself to,
2716,271,6,"一边ㄦ是菜蔬、果品等,一边ㄦ是主食或酒,两者搭着吃或喝","(dishes, fruit, etc.) be eaten (or drunk) with (staple food or wine); go with",
2717,271,7,〈介词prep.〉表示动作的对象或范围,with regard to; concerning; on,
2718,271,8,表示在很短的时间以内,at once; right away,
2719,271,9,表示事情发生得早或结束得早,as early as; already,
2720,271,10,表示前后事情紧接着,as soon as; right after,
2721,271,11,表示在某种条件或情况下自然怎么样(前面常用‘只要、要是、既然’等或者含有这类意思,"oft. preceded by conjunctions like 只要 zhǐyào, 要是 yào·shi,既然 jìrán, etc.",
2722,271,12,"表示对比起来数目大,次数多,能力强等",as much as; as many as,
2723,271,13,"放在两个相同的成分之间,表示容忍",[used between two identical elements to express resignation],
2724,271,14,表示原来或早已是这样,to begin with; as is expected,
2725,271,15,仅仅;只,only; merely; just,
2726,271,16,表示坚决,(indicating determination) just; simply,
2727,271,17,表示事实正是如此,exactly; precisely,
2728,271,18,"〈连词conj.〉表示假设的让步,跟‘就是’相同","[indicating a supposition, same as 就是2jiùshì]",
2811,281,1,从里面到外面(跟‘进’、‘入’相对as opposed to‘enter’}),proceed from inside to outside,
2812,281,2,来到,be at (an event),
2813,281,3,超出,exceed,
2814,281,4,往外拿,give,
2815,281,5,出产;产生;发生,produce; give rise to; happen,
2816,281,6,出版,publish,
2817,281,7,发出;发泄,emit; give vent to,
2818,281,8,引文、典故等见于某处,(of a quotation or allusion) quoted from,
2819,281,9,显露,become conspicuous,
2820,281,10,显得量多,appear in big quantity,
2821,281,11,支出,spend,
2822,281,12,"〈方dial.〉跟‘往’连用,表示向外",[used after 往wǎng to mean ‘outward’],
2823,281,13,一本传奇中的一个大段落叫一出。戏曲的一个独立剧目也叫一出,classifier for a chapter of a classical novel; classifier for an opera or play,
2824,281,14,用在动词后表示向外、显露或完成,"[used after a verb to indicate an outward movement, a conspicuous state or sth. accomplished]",
2911,291,1,用话来表达意思,speak; say; express oneself by words,
2912,291,2,解释,explain,
2913,291,3,言论;主张,doctrine; theory,
2914,291,4,责备;批评,scold,
2915,291,5,指说合;介绍,act as a matchmaker,
2916,291,6,意思上指,refer to; indicate,
2921,292,1,用话劝说使人听从自己的意见,try to persuade others to accept one's own view,
2931,293,1,同same as‘悦’,yuè,
3011,301,1,总计,sum; total,
3021,302,1,聚合;合在一起,gather; congregate; assemble,
3022,302,2,见面;会见,meet; see,
3023,302,3,有一定目的的集会,rally; assemblage; assembly; congregation; gathering with a specific purpose,
3024,302,4,某些团体,association; society; organization,
3025,302,5,庙会,temple fair,
3026,302,6,"民间朝山进香或酬神求年成时所组织的集体活动,如香会、迎神赛会等。","popular gathering at a temple to worship Buddha or pray for a bumper harvest, e.g. gathering of worshippers, festival to pacify the spirits",
3027,302,7,"民间一种小规模经济互助组织,入会成员按期平均交款,分期轮流使用。","small credit association, where members regularly contribute an equal amount to a common fund and draw from it by turns",
3028,302,8,主要的城市,main city,
3029,302,9,时机,chance; opportunity,
3030,302,10,〈书fml.〉恰巧;正好,happen; coincide with; it happens ...,
3031,302,11,〈书fml.〉应当,ought to; should,
3032,302,12,理解;懂得,understand; grasp,
3033,302,13,熟习;通晓,familiar with; acquainted with,
3034,302,14,表示懂得怎样做或有能力做(多半指需要学习的事情),able to; can; know how to do sth. or be able to do sth. (esp. sth. learned),
3035,302,15,表示擅长,good at; excel at; skilled in,
3036,302,16,表示有可能实现,likely to; sure to,
3037,302,17,付账,pay a bill,
3038,302,18,见see【会ㄦ】,huìr,
3111,311,1,表示判断或解释的语气,[used at the end of a sentence to indicate an explanation or a judgement],
3112,311,2,表示疑问或反诘的语气,[used at the end of a question or counter-question],
3113,311,3,表示句中的停顿,[used in the middle of a sentence to mark off a stop],
3114,311,4,表示同样,also; too; either,
3115,311,5,"叠用,强调两事并列或对待",[reduplicated to show two parallel or opposite things] as well as,
3116,311,6,"叠用,表示无论这样或那样;不以某种情形为条件",(reduplicated) whether ... or ...; no matter whether,
3117,311,7,表示转折或让步(常跟上文的‘虽然、即使’等呼应,"oft. used correlatively with 虽然suīrán, 即使jíshǐ, etc.",
3118,311,8,表示委婉,[used in a hesitant or guarded statement],
3119,311,9,表示强调(常跟上文的‘连’字呼应,used correlatively with 连lián,
3211,321,1,名词后缀。,[used after a noun as a suffix],
