pinyin_id,hanzi,pinyin
5961,舞,wǔ
5971,依,yī
5981,占,zhān
5982,占,zhàn
5991,呀,yā
5992,呀,ya
6001,微,wēi
6011,础,chǔ
6021,益,yì
6031,倒,dǎo
6032,倒,dào
6041,刻,kè
6051,举,jǔ
6061,血,xiě
6062,血,xuè
6071,故,gù
6081,互,hù
6091,范,fàn
6101,木,mù
6111,号,háo
6112,号,hào
6121,尽,jìn
6122,尽,jǐn
6131,请,qǐng
6141,脸,liǎn
6151,兵,bīng
6161,职,zhí
6171,留,liú
6181,铁,tiě
6191,吸,xī
6201,钱,qián
6211,急,jí
6221,独,dú
6231,剧,jù
6241,查,chá
6242,查,zhā
6251,皮,pí
6261,激,jī
6271,坐,zuò
6281,乎,hū
6291,固,gù
6301,害,hài
6311,夜,yè
6321,续,xù
6331,京,jīng
6341,双,shuāng
6351,拿,ná
6361,府,fǔ
6371,限,xiàn
6381,草,cǎo
6391,项,xiàng
6401,述,shù
6411,曲,qǔ
6412,曲,qū
6421,既,jì
6431,春,chūn
6441,官,guān
6451,坚,jiān
6461,令,líng
6462,令,lǐng
6463,令,lìng
6471,句,gōu
6472,句,jù
6481,助,zhù
6491,简,jiǎn
6501,杂,zá
6511,材,cái
6521,封,fēng
6531,护,hù
6541,司,sī
6551,省,xǐng
6552,省,shěng
6561,县,xiàn
6571,模,mó
6572,模,mú
6581,试,shì
6591,绝,jué
6601,洋,yáng
6611,谁,shéi
6612,谁,shuí
6621,继,jì
6631,止,zhǐ
6641,喜,xǐ
6651,优,yōu
6661,词,cí
6671,陈,chén
6681,鱼,yú
6691,终,zhōng
6701,施,shī
6711,晚,wǎn
6721,朝,cháo
6722,朝,zhāo
6731,含,hán
6741,仍,réng
6751,脑,nǎo
6761,甚,shèn
6771,汉,hàn
6781,修,xiū
6791,油,yóu
6801,衣,yī
6802,衣,yì
6811,击,jī
6821,云,yún
6831,送,sòng
6841,巴,bā
6851,普,pǔ
6861,征,zhēng
6871,错,cuò
6881,均,jūn
6891,投,tóu
6901,波,bō
6911,余,yú
6921,友,yǒu
6931,武,wǔ
6941,责,zé
6951,游,yóu
6961,敌,dí
6971,叶,xié
6972,叶,yè
6981,船,chuán
6991,久,jiǔ
7001,否,fǒu
7002,否,pǐ
7011,异,yì
7021,块,kuài
7031,脚,jué
7032,脚,jiǎo
7041,怕,pà
7051,田,tián
7061,策,cè
7071,苏,sū
7081,乡,xiāng
7091,帝,dì
7101,靠,kào
7111,医,yī
7121,测,cè
7131,植,zhí
7141,啊,a
7142,啊,ā
7143,啊,à
7144,啊,ǎ
7145,啊,á
7151,括,kuò
7152,括,guā
7161,换,huàn
7171,逐,zhú
7181,娘,niáng
7191,罗,luó
7201,戏,xì
7202,戏,hū
7211,善,shàn
7221,获,huò
7231,待,dāi
7232,待,dài
7241,降,jiàng
7242,降,xiáng
7251,冲,chōng
7252,冲,chòng
7261,父,fù
7262,父,fǔ
7271,置,zhì
7281,左,zuǒ
7291,右,yòu
7301,沉,chén
7311,酸,suān
7321,亮,liàng
7331,良,liáng
7341,班,bān
7351,著,zhù
7352,著,zhe
7353,著,zhuó
7361,亚,yà
7371,抗,kàng
7381,啦,lā
7382,啦,la
7391,静,jìng
7401,渐,jiàn
7402,渐,jiān
7411,概,gài
7421,居,jū
7431,跑,pǎo
7432,跑,páo
7441,旧,jiù
7451,防,fáng
7461,买,mǎi
7471,挥,huī
7481,负,fù
7491,帮,bāng
7501,欢,huān
7511,冷,lěng
7521,液,yè
7531,停,tíng
7541,减,jiǎn
7551,男,nán
7561,胜,shēng
7562,胜,shèng
7571,答,dā
7572,答,dá
7581,析,xī
7591,忙,máng
7601,短,duǎn
7611,烈,liè
7621,映,yìng
7631,财,cái
7641,背,bēi
7642,背,bèi
7651,奇,jī
7652,奇,qí
7661,药,yào
7671,承,chéng
7681,岁,suì
7691,略,lüè
7701,穿,chuān
7711,牛,niú
7721,室,shì
7731,移,yí
7741,饭,fàn
7751,坏,huài
7761,假,jià
7762,假,jiǎ
7771,州,zhōu
7781,缺,quē
7791,愿,yuàn
7801,练,liàn
7811,超,chāo
7821,雨,yù
7822,雨,yǔ
7831,慢,màn
7841,竟,jìng
7851,呼,hū
7861,散,sàn
7862,散,sǎn
7871,灵,líng
7881,副,fù
7891,歌,gē
7901,谓,wèi
7911,虫,chóng
7921,读,dú
7922,读,dòu
7931,介,jiè
7941,培,péi
7951,卫,wèi
7961,宗,zōng
7971,章,zhāng
7981,评,píng
7991,伤,shāng
8001,丰,fēng
8011,核,hú
8012,核,hé
8021,预,yù
8031,担,dàn
8032,担,dān
8041,诉,sù
8051,惊,jīng
8061,刘,liú
8071,景,jǐng
8081,乱,luàn
8091,氧,yǎng
8101,阿,ā
8102,阿,ē
8103,阿,
8111,龙,lóng
8121,宣,xuān
8131,升,shēng
8141,爷,yé
8151,洲,zhōu
8161,判,pàn
8171,案,àn
8181,协,xié
8191,福,fú
8201,货,huò
8211,味,wèi
8221,若,rě
8222,若,ruò
