rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35294,1,跟风,gēnfēng,,,动,盲目追随当时的风气,做事要从实际出发，不要跟风。
35296,1,夜宵,yèxiāo,,,名,夜间吃的酒食、点心等,
35297,1,空翻,kōngfān,,,名,一种体操动作。身体向前或向后腾空翻转一周或一周以上,
35298,1,卷宗,juànzōng,,,名,案卷,
35298,2,卷宗,juànzōng,,,名,保存文件的特制纸夹子,
35300,1,历朝,lìcháo,,,名,以往各个朝代,历朝文物典章
35300,2,历朝,lìcháo,,,名,指同一朝代各个君主的在位时期,
35301,1,铃铛,língdang,,,名,可摇晃发声的铃。钟形、球形或扁圆形，下部或中部开口儿，内有悬锤、金属丸或小石子，有供儿童玩的、骡马身上带的或作饰品用的等。,
35302,1,遭灾,zāozāi,,,动,遭受灾祸（多指自然灾害）,今年家乡遭灾，颗粒无收。
35303,1,分毫,fēnháo,,,名,市制计量单位的分和毫。指很小的数量,分毫不少
35305,1,通衢,tōngqú,,,名,四通八达的道路,通衢大道
35306,1,白文,báiwén,,,名,指有注解的古书的正文（不含注解）,白文用大字排印，注疏排双行小字。
35306,2,白文,báiwén,,,名,指只印正文而不印注解的古籍,
35306,3,白文,báiwén,,,名,指印章、碑碣上的阴文,
35308,1,名模,míngmó,,,名,著名的时装模特儿,
35309,1,豆豉,dòuchǐ,,,名,黄豆或黑豆蒸煮、发酵制成的调味品，有咸淡两种，淡的还可以做药材,
35310,1,鹿茸,lùróng,,,名,雄性梅花鹿、马鹿等尚未骨化的幼角。含血液，外带茸毛，是名贵的中药,
35311,1,证物,zhèngwù,,,名,能证明案件实情的物件,
35317,1,点歌,diǎngē,,,动,指定歌曲名称，请演员演唱或请电台、电视台播放,
35318,1,队旗,duìqí,,,名,以队命名的组织的旗帜,开赛前两队交换队旗。
35318,2,队旗,duìqí,,,名,特指中国少年先锋队的旗帜，即绘有五角星加火炬的红旗,
35319,1,四边,sìbiān,,,名,四条边；也指四周,头巾四边儿镶着花边。
35320,1,雄奇,xióngqí,,,形,雄伟奇特,山势险峻雄奇
35321,1,播送,bōsòng,,,动,通过广播、电视把节目、消息等传送给听众、观众,播送新闻｜播送演出实况
35322,1,提篮,tílán,,,名,有提梁的篮子,
35324,1,山巅,shāndiān,,,名,山顶,
35325,1,醋酸,cùsuān,,,名,乙酸的通称,
35326,1,祖庙,zǔmiào,,,名,宗庙,
35327,1,回顾展,huígùzhǎn,,,名,展示以往成绩和发展道路的展览。如电影回顾展就是集中放映历年有代表性的影片，以展示电影创作的成就,
35330,1,提携,tíxié,,,动,搀扶；带领,提携幼儿
35330,2,提携,tíxié,,,动,扶植；提拔,全靠你提携｜提携后进
35330,3,提携,tíxié,,,动,互相帮助,彼此提携
35331,1,脚镣,jiǎoliào,,,名,套在脚腕上的刑具，由一条铁链连着两个铁箍组成,
35332,1,扩音器,kuòyīnqì,,,名,扩音机上的声频功率放大器,
35336,1,山穷水尽,shānqióng-shuǐjìn,,,,山和水都到了尽头。比喻走投无路，陷入绝境,
35339,1,没脸,méiliǎn,,,形,没有脸面；不好意思,没脸见人｜没脸向人开口
35341,1,斗胆,dǒudǎn,,,副,表示大胆（常用作谦词）,斗胆向你进一言
35342,1,烟波,yānbō,,,名,烟雾迷蒙的水面,客船在烟波里渐渐消失｜烟波浩渺
35345,1,枪林弹雨,qiānglín-dànyǔ,,,,枪支多如林，子弹密如雨。形容密集的炮火，激烈的战斗,
35346,1,寨主,zhàizhǔ,,,名,旧指聚居山林的强盗的首领,
35346,2,寨主,zhàizhǔ,,,名,旧指村寨首领,
35348,1,批注,pīzhù,,,动,加上批语或注释,边读边批注
35348,2,批注,pīzhù,,,名,批注的文字,书上写满了批注
35349,1,上劲,shàngjìn,,,形,精神抖擞；来劲儿,这种车越开越上劲。
35350,1,外带,wàidài,,,名,外胎的通称,
35350,2,外带,wàidài,,,动,另外加上,他看大门，外带看车。
35352,1,言传身教,yánchuán-shēnjiào,,,,既用言语传授，又以行动示范。指用自己的言行教育、影响别人,
35353,1,过关斩将,guòguān-zhǎnjiàng,,,,《三国演义》中说，关羽从曹营出发，过五道关口，斩六员大将，最终找到刘备。比喻克服重重困难或战胜许多对手，终于获得成功,
35355,1,烈酒,lièjiǔ,,,名,酒精度数高、酒性猛烈的酒,
35356,1,白蚁,báiyǐ,,,名,昆虫，形状像蚂蚁，有的有翅膀。群居，生活在隐蔽的巢穴中。蛀食木材，对森林、房屋、枕木、桥梁、堤坝等破坏性极大,
35357,1,人工授精,réngōng shòujīng,,,,用人工方法使卵子受精,
35358,1,兵权,bīngquán,,,名,指统率和指挥军队的权力,解除兵权｜兵权旁落
35359,1,屠夫,túfū,,,名,以宰杀牲畜为业的人,
35359,2,屠夫,túfū,,,名,比喻残杀人民的人,
35363,1,作乱,zuòluàn,,,动,发动叛乱；制造暴乱,恐怖分子作乱｜乘机作乱
35364,1,棉絮,miánxù,,,名,棉花的纤维,
35364,2,棉絮,miánxù,,,名,用棉花絮成的棉衣、被褥等的胎,
35365,1,泡汤,pàotāng,,,动,比喻（计划、事情等）落空,投资全部泡汤了｜计划泡了汤
35366,1,昭然,zhāorán,,,形,形容很明显的样子,事理昭然
35367,1,火鸡,huǒjī,,,名,家禽，体高大，无冠，喉下有肉垂，胸肌和腿肌发达。今北美洲南部地区尚有野生的,
35368,1,问询,wènxún,,,动,提出问题，请人解答,
35369,1,迷津,míjīn,,,名,佛教指使人迷惘的境界；泛指错误的道路、方向,指点迷津
35370,1,心寒,xīnhán,,,形,因非常失望而痛心,听了这话，真让人心寒。
35371,1,买通,mǎitōng,,,动,用钱财等收买人，以给自己提供方便,
35373,1,两立,liǎnglì,,,动,相对的双方同时存在；对立的双方同时存在,和则两立，斗则两伤。
35374,1,调养,tiáoyǎng,,,动,调节饮食起居，注意养护身体,病后应注意调养
35376,1,熔铸,róngzhù,,,动,熔解并铸造,
35377,1,枪法,qiāngfǎ,,,名,开枪射击的技能、技巧,他的枪法很准
35377,2,枪法,qiāngfǎ,,,名,使用长枪、长矛（古兵器，现均为武术器械）的技艺,
35378,1,穿孔,chuānkǒng,,,动,肠、胃等器官的壁因病变而出现孔洞,胃穿孔
35378,2,穿孔,chuānkǒng,,,动,打眼儿,利用激光穿孔
35379,1,正身,zhèngshēn,,,名,指当事人本人，并非冒名顶替的人,验明正身，执行枪决。
35382,1,掣肘,chèzhǒu,,,动,拽住胳膊。比喻从旁牵制阻挠别人做事,由于无人掣肘，工作很顺利。
