pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
9691,弹,tán,96911,1,由于一物的弹性作用使另一物射出去。,2,弹羊毛。
28081,虏,lǔ,280811,1,俘虏（动词）,2,强虏。
28081,虏,lǔ,280812,2,俘虏（名词）,2,强虏。
28081,虏,lǔ,280813,3,指奴隶。,2,强虏。
1022,当,dāng,10229,9,用实物作抵押向当铺借钱,1,当当
24381,舆,yú,243812,2,车上可以载人载物的部分。,2,彩舆。
19711,坛,tán,197113,3,某些会道门设立的拜神集会的组织。,3,影坛
3491,影,yǐng,34915,5,〈旧时old〉指祖先的画像。,1,影评
3491,影,yǐng,34915,5,〈旧时old〉指祖先的画像。,2,影院。
12341,胸,xiōng,123411,1,"躯干的一部分,在颈和腹之间。",1,心胸
10971,股,gǔ,109711,1,大腿。,1,总务股
9332,恶,wū,93321,1,,1,"恶,是何言也(啊,这是什么话)!"
14462,勒,lè,144621,1,带嚼子的马笼头。,1,悬崖勒马。
21981,艾,yì,219811,1,,1,惩艾。
