pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
47751,箧,qiè,,9548,1
47611,斛,hú,,9549,1
47451,沔,miǎn,,9550,1
47531,锃,zèng,,9551,1
47351,葳,wēi,,9552,1
47681,璎,yīng,,9553,1
47421,沤,òu,,9554,1
47422,沤,ōu,,9554,2
47491,鹂,lí,,9555,1
47501,垧,shǎng,,9556,1
47561,璨,càn,,9557,1
47781,嵋,méi,,9558,1
47471,莘,xīn,,9559,1
47472,莘,shēn,,9559,2
47771,氚,chuān,,9560,1
47441,蓖,bì,,9561,1
47411,埕,chéng,,9562,1
47721,獾,huān,,9563,1
47361,藜,lí,,9564,1
47601,靛,diàn,,9565,1
47711,碛,qì,,9566,1
47731,嗄,shà,,9567,1
47371,哔,bì,,9568,1
47461,焙,bèi,,9569,1
47381,棂,líng,,9570,1
47541,唁,yàn,,9571,1
47591,烩,huì,,9572,1
47661,涞,lái,,9573,1
47581,畈,fàn,,9574,1
47551,栀,zhī,,9575,1
47401,钰,yù,,9576,1
47431,桡,ráo,,9577,1
47651,徜,cháng,,9578,1
47511,癯,qú,,9579,1
47691,钚,bù,,9580,1
47621,轭,è,,9581,1
47521,皈,guī,,9582,1
47641,衩,chà,,9583,1
47642,衩,chǎ,,9583,2
47741,夙,sù,,9584,1
47481,缙,jìn,,9585,1
47321,聒,guō,,9586,1
47391,忾,kài,,9587,1
47761,铰,jiǎo,,9588,1
47671,绔,kù,,9589,1
47801,圪,gē,,9590,1
47631,戕,qiāng,,9591,1
48031,潸,shān,,9605,1
48191,慵,yōng,,9606,1
47971,皴,cūn,,9607,1
47851,闾,lǘ,,9608,1
47951,伧,chen,,9609,2
47952,伧,cāng,,9609,1
47911,噫,yī,,9610,1
48121,飙,biāo,,9611,1
48101,葺,qì,,9612,1
48141,帏,wéi,,9613,1
47821,淇,qí,,9614,1
48071,韪,wěi,,9615,1
48091,倜,tì,,9616,1
47901,橼,yuán,,9617,1
48001,胤,yìn,,9618,1
47831,讣,fù,,9619,1
47811,啉,lín,,9620,1
47941,泅,qiú,,9621,1
47931,骧,xiāng,,9622,1
48131,罄,qìng,,9623,1
48021,佻,tiāo,,9624,1
47881,糍,cí,,9625,1
48111,螫,shì,,9626,1
48041,鲈,lú,,9627,1
47891,摁,èn,,9628,1
48161,铧,huá,,9629,1
48151,崂,láo,,9630,1
48051,砺,lì,,9631,1
47991,佗,tuó,,9632,1
47841,犍,qián,,9633,2
47842,犍,jiān,,9633,1
48081,孱,càn,,9634,2
48082,孱,chán,,9634,1
47861,旃,zhān,,9635,1
200018,榘,jǔ,,9636,1
47961,铱,yī,,9637,1
47921,鸵,tuó,,9638,1
47981,谡,sù,,9639,1
48011,鹌,ān,,9640,1
48061,耒,lěi,,9641,1
48171,喑,yīn,,9642,1
48181,嘣,bēng,,9643,1
47871,嘌,piào,,9644,1
48321,嘤,yīng,,9656,1
48451,蓼,liǎo,,9657,1
48452,蓼,lù,,9657,2
48461,苋,xiàn,,9658,1
48611,缜,zhěn,,9659,1
48601,蛳,sī,,9660,1
48641,蜊,lí,,9661,1
48261,撸,lū,,9662,1
